Dataset	Embedding	Hidden Dimension	Seed	Best Val Metric	Test Metric	Parameter Count
meltome	BC	32	2	0.6494808982888819	0.6811066769791793	87105
meltome	BC	32	4	0.6331632524439083	0.6621731371130138	87105
meltome	BC	32	8	0.6578331522178812	0.6772949313663211	87105
meltome	BC	32	16	0.6517888992304162	0.6861377354862194	87105
meltome	BC	32	32	0.6413321222646998	0.6819455850474611	87105
meltome	BD	32	2	0.5880677123054621	0.6446483865463138	56641
meltome	BD	32	4	0.5865267701603669	0.643880667208597	56641
meltome	BD	32	8	0.5783434414030741	0.624036721922171	56641
meltome	BD	32	16	0.5901073443673939	0.6275293872929154	56641
meltome	BD	32	32	0.5636184827130257	0.6120745172398427	56641
meltome	BE	32	2	0.5995996931278138	0.6435682814716323	69697
meltome	BE	32	4	0.605577469549836	0.6407420146822944	69697
meltome	BE	32	8	0.5964278051149523	0.6384106877458495	69697
meltome	BE	32	16	0.5950765263046656	0.638666844400107	69697
meltome	BE	32	32	0.6057882329019537	0.6443574716596595	69697
meltome	BF	32	2	0.6760656600264769	0.7219866199158969	87105
meltome	BF	32	4	0.6696315228855156	0.7188852284998787	87105
meltome	BF	32	8	0.6717499522456013	0.7132538199285349	87105
meltome	BF	32	16	0.6616522065578219	0.7158587646273654	87105
meltome	BF	32	32	0.6660579875330529	0.7168407496661057	87105
meltome	BG	32	2	0.5707693932213433	0.6128897985834829	87105
meltome	BG	32	4	0.5643723713789514	0.597494223014837	87105
meltome	BG	32	8	0.5499516639824719	0.5954401989334069	87105
meltome	BG	32	16	0.5708173989624805	0.6155354955302061	87105
meltome	BG	32	32	0.5528371962902886	0.5946046550312903	87105
meltome	CD	32	2	0.6375914583751359	0.6691839842051438	39233
meltome	CD	32	4	0.6272102395370823	0.6672433466739999	39233
meltome	CD	32	8	0.6110335650825723	0.6429746783290345	39233
meltome	CD	32	16	0.6136228391389481	0.6452513174085448	39233
meltome	CD	32	32	0.6291644234389526	0.6708937965010591	39233
meltome	CE	32	2	0.6200841252707416	0.6606249767192324	52289
meltome	CE	32	4	0.6319237285010855	0.663030036730105	52289
meltome	CE	32	8	0.6294789186666795	0.6676166539771075	52289
meltome	CE	32	16	0.6303572985195571	0.6717997278794976	52289
meltome	CE	32	32	0.6408224010058624	0.6712184303045562	52289
meltome	CF	32	2	0.6652354399329065	0.7177864250969831	69697
meltome	CF	32	4	0.6598636601280881	0.7048345510860952	69697
meltome	CF	32	8	0.655272048757738	0.708314686868026	69697
