Dataset	Embedding	Hidden Dimension	Seed	Best Val Metric	Test Metric	Parameter Count	Max Memory	Run Time
aav	BC	32	2	0.8607234816206932	0.7154121728700844	87105	138.21435546875	65.26241827011108
aav	BC	32	4	0.863015367574442	0.7250177300864472	87105	138.21435546875	45.19733786582947
aav	BC	32	8	0.86029434059296	0.6903797982877805	87105	138.21435546875	47.099114656448364
aav	BC	32	16	0.858955791382382	0.7143852217372392	87105	138.21435546875	46.24422311782837
aav	BC	32	32	0.8610031623873332	0.7200781065677987	87105	138.21435546875	44.965521812438965
aav	BD	32	2	0.8439973499681289	0.6615328917339744	56641	95.74267578125	42.99022579193115
aav	BD	32	4	0.842904091449984	0.6816080042823517	56641	95.74267578125	39.06715106964111
aav	BD	32	8	0.8429098096458981	0.6823028368442576	56641	95.74267578125	38.549137592315674
aav	BD	32	16	0.8432261239668772	0.6686393237841263	56641	95.74267578125	39.019853830337524
aav	BD	32	32	0.8438432710165399	0.6609595033318748	56641	95.74267578125	38.72457027435303
aav	BE	32	2	0.846820067913341	0.6563540778816338	69697	113.94482421875	46.97456884384155
aav	BE	32	4	0.8493257833756074	0.6722842575057001	69697	113.94482421875	42.15355205535889
aav	BE	32	8	0.8474029206999049	0.6741217783684167	69697	113.94482421875	42.46315670013428
aav	BE	32	16	0.8487055759094311	0.7104483609490633	69697	113.94482421875	42.27401614189148
aav	BE	32	32	0.8466491580538297	0.705752576785718	69697	113.94482421875	42.417497873306274
aav	BF	32	2	0.8524287725380697	0.6504419096182472	87105	138.21435546875	58.886428117752075
aav	BF	32	4	0.8539504303876745	0.6168891994786818	87105	138.21435546875	44.98537802696228
aav	BF	32	8	0.8486893082140812	0.5932097346910012	87105	138.21435546875	45.11782240867615
aav	BF	32	16	0.8494498294682612	0.6419949394483045	87105	138.21435546875	44.877790689468384
aav	BF	32	32	0.8463736923812835	0.615626278902993	87105	138.21435546875	44.956300497055054
aav	BG	32	2	0.8525030641610638	0.5771373420266998	87105	138.21435546875	59.287352323532104
aav	BG	32	4	0.854002890132722	0.6458755309251362	87105	138.21435546875	44.36283493041992
aav	BG	32	8	0.8553520750139093	0.6201028013366076	87105	138.21435546875	45.29772329330444
aav	BG	32	16	0.8545749714384032	0.6369272821289205	87105	138.21435546875	44.880189418792725
aav	BG	32	32	0.8529114308856697	0.6075542863496952	87105	138.21435546875	43.52598714828491
aav	CD	32	2	0.8647344607100751	0.6977835966792217	39233	71.47314453125	38.093889474868774
aav	CD	32	4	0.8640824666225088	0.6631665251527367	39233	71.47314453125	36.63059949874878
aav	CD	32	8	0.8667948668320467	0.6985282818306365	39233	71.47314453125	37.67230844497681
aav	CD	32	16	0.8651174392054639	0.6935445591276147	39233	71.47314453125	35.820947885513306
aav	CD	32	32	0.8645087773650203	0.6834086657896362	39233	71.47314453125	36.737231731414795
aav	CE	32	2	0.8659311260570952	0.713490908429671	52289	89.67529296875	39.459025859832764
aav	CE	32	4	0.8644007730915879	0.6743670229264074	52289	89.67529296875	38.637346506118774
aav	CE	32	8	0.8652413762245389	0.7087013852351488	52289	89.67529296875	38.348538875579834
aav	CE	32	16	0.8640076397468497	0.6760475135626437	52289	89.67529296875	38.7913703918457
aav	CE	32	32	0.86292050112827	0.6613673655678693	52289	89.67529296875	38.582828998565674
aav	CF	32	2	0.858208557612548	0.5049536904028818	69697	113.94482421875	41.96582841873169
aav	CF	32	4	0.8626515818573194	0.5473826773212945	69697	113.94482421875	41.3761670589447
aav	CF	32	8	0.8614821688515015	0.5143234841202069	69697	113.94482421875	42.276092529296875
aav	CF	32	16	0.862102821082934	0.6169084336898295	69697	113.94482421875	41.98649072647095
aav	CF	32	32	0.8629591917554141	0.5499673482334142	69697	113.94482421875	43.05248141288757
aav	CG	32	2	0.8625164027067735	0.634184388457075	69697	113.94482421875	41.755654096603394
aav	CG	32	4	0.8658171045419712	0.6615728809073655	69697	113.94482421875	42.26569318771362
aav	CG	32	8	0.864141830465962	0.6623187807404157	69697	113.94482421875	42.00207543373108
aav	CG	32	16	0.8653868976181853	0.6717594034425622	69697	113.94482421875	41.59513211250305
aav	CG	32	32	0.8632183595344263	0.6736405289324435	69697	113.94482421875	42.595417976379395
aav	DE	32	2	0.8475789672470511	0.5792961257506926	21825	47.20361328125	33.12416172027588
aav	DE	32	4	0.8460759035077715	0.6114083447918569	21825	47.20361328125	33.384687185287476
aav	DE	32	8	0.8459668038863812	0.6021217369372346	21825	47.20361328125	33.713677406311035
aav	DE	32	16	0.8456636942062906	0.6066979461563451	21825	47.20361328125	32.068100690841675
aav	DE	32	32	0.8433294832100386	0.5027395982763816	21825	47.20361328125	32.99412274360657
aav	DF	32	2	0.8385926207555979	0.6124468833293267	39233	71.47314453125	37.567344188690186
aav	DF	32	4	0.8341713812416223	0.5644659053396371	39233	71.47314453125	35.80060315132141
