Dataset	Embedding	Hidden Dimension	Seed	Best Val Metric	Test Metric	Parameter Count	Max Memory	Run Time
location	CE	32	2	0.8486293206197855	0.6408163265306123	52586	89.8203125	14.146360397338867
location	CE	32	4	0.8462455303933254	0.6244897959183674	52586	89.8203125	14.680869817733765
location	CE	32	8	0.8444576877234803	0.6265306122448979	52586	89.8203125	14.966687202453613
location	CE	32	16	0.8438617401668653	0.6204081632653061	52586	89.8203125	15.138659238815308
location	CE	32	32	0.8474374255065554	0.636734693877551	52586	89.8203125	14.267192840576172
location	CF	32	2	0.902264600715137	0.7081632653061225	69994	114.08984375	15.306695938110352
location	CF	32	4	0.902264600715137	0.7122448979591837	69994	114.08984375	15.62949514389038
location	CF	32	8	0.900476758045292	0.7163265306122449	69994	114.08984375	15.218958854675293
location	CF	32	16	0.9070321811680572	0.7081632653061225	69994	114.08984375	16.75311017036438
location	CF	32	32	0.9052443384982122	0.7244897959183674	69994	114.08984375	16.553958415985107
location	CG	32	2	0.7967818831942789	0.5612244897959183	69994	114.08984375	15.211177587509155
location	CG	32	4	0.8128724672228844	0.5938775510204082	69994	114.08984375	16.62730360031128
location	CG	32	8	0.7878426698450537	0.5816326530612245	69994	114.08984375	15.912033319473267
location	CG	32	16	0.8051251489868891	0.563265306122449	69994	114.08984375	16.17281699180603
location	CG	32	32	0.8009535160905841	0.5795918367346938	69994	114.08984375	16.0616717338562
location	DE	32	2	0.8414779499404053	0.6306122448979592	22122	47.3486328125	12.003833293914795
location	DE	32	4	0.8504171632896305	0.6346938775510204	22122	47.3486328125	13.634779930114746
location	DE	32	8	0.8498212157330155	0.6489795918367347	22122	47.3486328125	13.620259523391724
location	DE	32	16	0.8474374255065554	0.6326530612244898	22122	47.3486328125	13.135832786560059
location	DE	32	32	0.8474374255065554	0.6408163265306123	22122	47.3486328125	15.882629156112671
location	DF	32	2	0.9016686531585221	0.736734693877551	39530	71.6181640625	13.039571762084961
location	DF	32	4	0.9034564958283671	0.726530612244898	39530	71.6181640625	12.902868032455444
location	DF	32	8	0.9094159713945172	0.7326530612244898	39530	71.6181640625	13.467865228652954
location	DF	32	16	0.9034564958283671	0.7448979591836735	39530	71.6181640625	15.661607027053833
location	DF	32	32	0.9016686531585221	0.726530612244898	39530	71.6181640625	13.110924482345581
location	DG	32	2	0.8432657926102503	0.6122448979591837	39530	71.6181640625	14.274060249328613
location	DG	32	4	0.8241954707985697	0.6061224489795919	39530	71.6181640625	14.384420394897461
location	DG	32	8	0.8313468414779499	0.636734693877551	39530	71.6181640625	13.367641687393188
location	DG	32	16	0.8295589988081049	0.6204081632653061	39530	71.6181640625	13.616223812103271
location	DG	32	32	0.8313468414779499	0.6142857142857143	39530	71.6181640625	14.101571798324585
location	EF	32	2	0.9052443384982122	0.7142857142857143	52586	89.8203125	17.772781372070312
location	EF	32	4	0.9034564958283671	0.7285714285714285	52586	89.8203125	13.99258017539978
location	EF	32	8	0.9052443384982122	0.7224489795918367	52586	89.8203125	13.5877845287323
location	EF	32	16	0.9141835518474374	0.7244897959183674	52586	89.8203125	13.772326469421387
location	EF	32	32	0.8963051251489869	0.7306122448979592	52586	89.8203125	14.404110670089722
location	EG	32	2	0.8462455303933254	0.6448979591836734	52586	89.8203125	14.853090047836304
location	EG	32	4	0.8468414779499404	0.6530612244897959	52586	89.8203125	14.51949954032898
location	EG	32	8	0.8539928486293206	0.6428571428571429	52586	89.8203125	14.583237409591675
location	EG	32	16	0.8462455303933254	0.6530612244897959	52586	89.8203125	14.908811569213867
location	EG	32	32	0.831942789034565	0.6469387755102041	52586	89.8203125	14.709556102752686
location	FG	32	2	0.8891537544696066	0.7244897959183674	69994	114.08984375	16.01603364944458
location	FG	32	4	0.9088200238379023	0.7204081632653061	69994	114.08984375	17.08344006538391
location	FG	32	8	0.898092967818832	0.7224489795918367	69994	114.08984375	15.85537838935852
location	FG	32	16	0.9094159713945172	0.7204081632653061	69994	114.08984375	16.95325207710266
location	FG	32	32	0.902264600715137	0.7244897959183674	69994	114.08984375	16.80869436264038
location	BCD	32	2	0.8194278903456496	0.6061224489795919	91754	144.4267578125	18.32748556137085
location	BCD	32	4	0.8325387365911799	0.6040816326530613	91754	144.4267578125	18.564439296722412
location	BCD	32	8	0.8241954707985697	0.6040816326530613	91754	144.4267578125	18.273626565933228
location	BCD	32	16	0.833134684147795	0.5938775510204082	91754	144.4267578125	17.898016452789307
location	BCD	32	32	0.8277711561382598	0.6163265306122448	91754	144.4267578125	17.835479497909546
location	BCE	32	2	0.8384982121573301	0.6408163265306123	104810	162.62890625	17.758207082748413
location	BCE	32	4	0.8432657926102503	0.6224489795918368	104810	162.62890625	18.327155590057373
location	BCE	32	8	0.8444576877234803	0.6387755102040816	104810	162.62890625	18.20703101158142
location	BCE	32	16	0.8468414779499404	0.6428571428571429	104810	162.62890625	17.67720603942871
location	BCE	32	32	0.8581644815256257	0.6326530612244898	104810	162.62890625	19.132323265075684
location	BCF	32	2	0.9028605482717521	0.6938775510204082	122218	186.8984375	20.80678915977478
location	BCF	32	4	0.8969010727056019	0.7346938775510204	122218	186.8984375	19.06135630607605
location	BCF	32	8	0.8957091775923719	0.7081632653061225	122218	186.8984375	21.486270666122437
location	BCF	32	16	0.8969010727056019	0.7081632653061225	122218	186.8984375	19.842365741729736
location	BCF	32	32	0.8963051251489869	0.7040816326530612	122218	186.8984375	21.154117345809937
location	BCG	32	2	0.8212157330154947	0.5836734693877551	122218	186.8984375	19.89131999015808
location	BCG	32	4	0.8230035756853397	0.5755102040816327	122218	186.8984375	21.461020946502686
location	BCG	32	8	0.8009535160905841	0.5795918367346938	122218	186.8984375	19.032041788101196
location	BCG	32	16	0.8104886769964244	0.5979591836734693	122218	186.8984375	18.749897480010986
location	BCG	32	32	0.8087008343265792	0.5959183673469388	122218	186.8984375	19.781357765197754
location	BDE	32	2	0.8462455303933254	0.6244897959183674	74346	120.1572265625	17.050078630447388
location	BDE	32	4	0.8510131108462455	0.6	74346	120.1572265625	16.948702812194824
location	BDE	32	8	0.8545887961859356	0.6020408163265306	74346	120.1572265625	16.845388889312744
location	BDE	32	16	0.8563766388557806	0.6265306122448979	74346	120.1572265625	16.05429482460022
location	BDE	32	32	0.8533969010727056	0.6469387755102041	74346	120.1572265625	17.500747203826904
location	BDF	32	2	0.8969010727056019	0.7285714285714285	91754	144.4267578125	17.704281330108643
location	BDF	32	4	0.901072705601907	0.7306122448979592	91754	144.4267578125	19.371552228927612
location	BDF	32	8	0.9052443384982122	0.7040816326530612	91754	144.4267578125	17.29588270187378
location	BDF	32	16	0.898092967818832	0.7163265306122449	91754	144.4267578125	16.97947645187378
location	BDF	32	32	0.9016686531585221	0.7061224489795919	91754	144.4267578125	17.529229879379272
location	BDG	32	2	0.8438617401668653	0.5836734693877551	91754	144.4267578125	18.52731204032898
location	BDG	32	4	0.8355184743742551	0.6183673469387755	91754	144.4267578125	20.872172355651855
location	BDG	32	8	0.8289630512514898	0.6142857142857143	91754	144.4267578125	18.643604516983032
location	BDG	32	16	0.8432657926102503	0.6204081632653061	91754	144.4267578125	17.618980407714844
location	BDG	32	32	0.8420738974970202	0.6163265306122448	91754	144.4267578125	17.779817819595337
location	BEF	32	2	0.898092967818832	0.7122448979591837	104810	162.62890625	18.73038649559021
location	BEF	32	4	0.8974970202622169	0.710204081632653	104810	162.62890625	17.743988275527954
location	BEF	32	8	0.899880810488677	0.7224489795918367	104810	162.62890625	18.807952404022217
location	BEF	32	16	0.8909415971394518	0.7061224489795919	104810	162.62890625	19.23866629600525
location	BEF	32	32	0.8963051251489869	0.710204081632653	104810	162.62890625	17.63690423965454
location	BEG	32	2	0.8539928486293206	0.6387755102040816	104810	162.62890625	18.3349871635437
location	BEG	32	4	0.8557806912991657	0.6408163265306123	104810	162.62890625	18.35093092918396
location	BEG	32	8	0.8450536352800954	0.6408163265306123	104810	162.62890625	20.33043599128723
location	BEG	32	16	0.8533969010727056	0.6428571428571429	104810	162.62890625	18.191720008850098
location	BEG	32	32	0.8492252681764004	0.6469387755102041	104810	162.62890625	18.442026138305664
location	BFG	32	2	0.899880810488677	0.7224489795918367	122218	186.8984375	20.807804822921753
location	BFG	32	4	0.8963051251489869	0.6918367346938775	122218	186.8984375	18.996126651763916
location	BFG	32	8	0.900476758045292	0.726530612244898	122218	186.8984375	18.968538522720337
location	BFG	32	16	0.9028605482717521	0.7061224489795919	122218	186.8984375	19.161924600601196
location	BFG	32	32	0.9034564958283671	0.7061224489795919	122218	186.8984375	19.20026707649231
location	CDE	32	2	0.8480333730631704	0.6428571428571429	56938	95.8876953125	17.99848246574402
location	CDE	32	4	0.8456495828367103	0.6346938775510204	56938	95.8876953125	15.27424693107605
location	CDE	32	8	0.8528009535160905	0.6387755102040816	56938	95.8876953125	15.429220914840698
location	CDE	32	16	0.8480333730631704	0.636734693877551	56938	95.8876953125	17.8827543258667
location	CDE	32	32	0.8551847437425506	0.6183673469387755	56938	95.8876953125	16.644182205200195
location	CDF	32	2	0.899880810488677	0.7204081632653061	74346	120.1572265625	16.650564432144165
location	CDF	32	4	0.899880810488677	0.7142857142857143	74346	120.1572265625	17.698852062225342
location	CDF	32	8	0.900476758045292	0.7122448979591837	74346	120.1572265625	17.31053853034973
location	CDF	32	16	0.9052443384982122	0.7040816326530612	74346	120.1572265625	19.280600547790527
location	CDF	32	32	0.901072705601907	0.7040816326530612	74346	120.1572265625	16.453568935394287
location	CDG	32	2	0.8253873659117997	0.6224489795918368	74346	120.1572265625	19.471449851989746
location	CDG	32	4	0.8289630512514898	0.6122448979591837	74346	120.1572265625	17.3210551738739
location	CDG	32	8	0.8325387365911799	0.5979591836734693	74346	120.1572265625	18.800760984420776
location	CDG	32	16	0.83373063170441	0.6	74346	120.1572265625	17.355008363723755
location	CDG	32	32	0.8271752085816448	0.6163265306122448	74346	120.1572265625	19.23873782157898
location	CEF	32	2	0.899880810488677	0.7020408163265306	87402	138.359375	16.950424432754517
location	CEF	32	4	0.9052443384982122	0.7061224489795919	87402	138.359375	17.346686840057373
location	CEF	32	8	0.9028605482717521	0.7244897959183674	87402	138.359375	17.397961378097534
location	CEF	32	16	0.902264600715137	0.7020408163265306	87402	138.359375	18.10165810585022
location	CEF	32	32	0.9040524433849821	0.7183673469387755	87402	138.359375	17.08004069328308
location	CEG	32	2	0.8468414779499404	0.6224489795918368	87402	138.359375	17.812644004821777
location	CEG	32	4	0.8390941597139452	0.6469387755102041	87402	138.359375	19.246488571166992
location	CEG	32	8	0.8557806912991657	0.6510204081632653	87402	138.359375	18.383617401123047
location	CEG	32	16	0.8498212157330155	0.6448979591836734	87402	138.359375	19.244118213653564
location	CEG	32	32	0.8468414779499404	0.6326530612244898	87402	138.359375	18.167189121246338
location	CFG	32	2	0.8986889153754469	0.6938775510204082	104810	162.62890625	17.95874524116516
location	CFG	32	4	0.9052443384982122	0.7163265306122449	104810	162.62890625	17.97952175140381
location	CFG	32	8	0.9028605482717521	0.7	104810	162.62890625	18.325100421905518
location	CFG	32	16	0.8974970202622169	0.7122448979591837	104810	162.62890625	19.217173099517822
location	CFG	32	32	0.8927294398092968	0.710204081632653	104810	162.62890625	18.567986726760864
location	DEF	32	2	0.899284862932062	0.7204081632653061	56938	95.8876953125	16.000856161117554
location	DEF	32	4	0.900476758045292	0.7204081632653061	56938	95.8876953125	16.01968765258789
location	DEF	32	8	0.902264600715137	0.7163265306122449	56938	95.8876953125	14.692077159881592
location	DEF	32	16	0.9070321811680572	0.7244897959183674	56938	95.8876953125	15.000137567520142
location	DEF	32	32	0.898092967818832	0.7040816326530612	56938	95.8876953125	15.072795867919922
location	DEG	32	2	0.8599523241954709	0.6346938775510204	56938	95.8876953125	16.252910614013672
location	DEG	32	4	0.8486293206197855	0.6265306122448979	56938	95.8876953125	15.060889959335327
location	DEG	32	8	0.8528009535160905	0.636734693877551	56938	95.8876953125	15.008757829666138
location	DEG	32	16	0.8444576877234803	0.6346938775510204	56938	95.8876953125	15.009672164916992
location	DEG	32	32	0.8528009535160905	0.6387755102040816	56938	95.8876953125	15.38373613357544
location	DFG	32	2	0.8974970202622169	0.7142857142857143	74346	120.1572265625	17.937217473983765
location	DFG	32	4	0.901072705601907	0.7163265306122449	74346	120.1572265625	16.532984495162964
location	DFG	32	8	0.899284862932062	0.7163265306122449	74346	120.1572265625	16.317671298980713
location	DFG	32	16	0.900476758045292	0.726530612244898	74346	120.1572265625	17.33466076850891
location	DFG	32	32	0.899284862932062	0.7081632653061225	74346	120.1572265625	17.62094283103943
location	EFG	32	2	0.900476758045292	0.7142857142857143	87402	138.359375	19.567350149154663
location	EFG	32	4	0.8969010727056019	0.726530612244898	87402	138.359375	18.12112259864807
location	EFG	32	8	0.898092967818832	0.710204081632653	87402	138.359375	17.91392970085144
location	EFG	32	16	0.901072705601907	0.7081632653061225	87402	138.359375	17.976064682006836
location	EFG	32	32	0.8974970202622169	0.7244897959183674	87402	138.359375	18.046939611434937
location	BCDE	32	2	0.8533969010727056	0.6448979591836734	109162	168.6962890625	20.149011850357056
location	BCDE	32	4	0.8522050059594756	0.6428571428571429	109162	168.6962890625	19.623087167739868
location	BCDE	32	8	0.8474374255065554	0.6306122448979592	109162	168.6962890625	21.11620044708252
location	BCDE	32	16	0.8492252681764004	0.636734693877551	109162	168.6962890625	19.436264514923096
location	BCDE	32	32	0.8528009535160905	0.6510204081632653	109162	168.6962890625	19.05312943458557
location	BCDF	32	2	0.899284862932062	0.710204081632653	126570	192.9658203125	20.25123929977417
location	BCDF	32	4	0.8933253873659118	0.6959183673469388	126570	192.9658203125	20.039341688156128
location	BCDF	32	8	0.8921334922526818	0.7081632653061225	126570	192.9658203125	21.286524295806885
location	BCDF	32	16	0.8903456495828367	0.7081632653061225	126570	192.9658203125	19.835652112960815
location	BCDF	32	32	0.8963051251489869	0.6979591836734694	126570	192.9658203125	19.792039394378662
location	BCDG	32	2	0.8301549463647199	0.6122448979591837	126570	192.9658203125	20.893224954605103
location	BCDG	32	4	0.8313468414779499	0.6204081632653061	126570	192.9658203125	20.169858932495117
location	BCDG	32	8	0.8325387365911799	0.6204081632653061	126570	192.9658203125	21.576655626296997
location	BCDG	32	16	0.833134684147795	0.6020408163265306	126570	192.9658203125	20.94609570503235
location	BCDG	32	32	0.8307508939213349	0.5938775510204082	126570	192.9658203125	20.70044994354248
location	BCEF	32	2	0.8951132300357568	0.7204081632653061	139626	211.16796875	20.35291814804077
location	BCEF	32	4	0.8986889153754469	0.6938775510204082	139626	211.16796875	21.46290159225464
location	BCEF	32	8	0.8957091775923719	0.7183673469387755	139626	211.16796875	20.97295570373535
location	BCEF	32	16	0.9028605482717521	0.7040816326530612	139626	211.16796875	22.91525411605835
location	BCEF	32	32	0.8879618593563766	0.6959183673469388	139626	211.16796875	22.38085412979126
location	BCEG	32	2	0.8474374255065554	0.6469387755102041	139626	211.16796875	24.16158652305603
location	BCEG	32	4	0.8462455303933254	0.6551020408163265	139626	211.16796875	21.85696005821228
location	BCEG	32	8	0.8408820023837902	0.6448979591836734	139626	211.16796875	21.639595985412598
location	BCEG	32	16	0.8492252681764004	0.6346938775510204	139626	211.16796875	21.153463125228882
location	BCEG	32	32	0.8456495828367103	0.636734693877551	139626	211.16796875	21.110264778137207
location	BCFG	32	2	0.899880810488677	0.6979591836734694	157034	235.4375	22.47102975845337
location	BCFG	32	4	0.8909415971394518	0.6918367346938775	157034	235.4375	22.35280156135559
location	BCFG	32	8	0.8939213349225268	0.7244897959183674	157034	235.4375	22.82520341873169
location	BCFG	32	16	0.8969010727056019	0.7040816326530612	157034	235.4375	21.944536209106445
location	BCFG	32	32	0.9034564958283671	0.7142857142857143	157034	235.4375	22.379575967788696
location	BDEF	32	2	0.898092967818832	0.7040816326530612	109162	168.6962890625	20.090107917785645
location	BDEF	32	4	0.899284862932062	0.7306122448979592	109162	168.6962890625	19.481247425079346
location	BDEF	32	8	0.9046483909415971	0.7183673469387755	109162	168.6962890625	19.769091606140137
location	BDEF	32	16	0.9034564958283671	0.7204081632653061	109162	168.6962890625	22.301044702529907
location	BDEF	32	32	0.9064362336114422	0.7204081632653061	109162	168.6962890625	20.614499807357788
location	BDEG	32	2	0.8617401668653158	0.6387755102040816	109162	168.6962890625	19.285446166992188
location	BDEG	32	4	0.8522050059594756	0.6591836734693878	109162	168.6962890625	22.870495080947876
location	BDEG	32	8	0.8593563766388558	0.6469387755102041	109162	168.6962890625	19.32886528968811
location	BDEG	32	16	0.8557806912991657	0.6408163265306123	109162	168.6962890625	19.725760221481323
location	BDEG	32	32	0.8581644815256257	0.6551020408163265	109162	168.6962890625	21.742716312408447
location	BDFG	32	2	0.9016686531585221	0.7081632653061225	126570	192.9658203125	21.98661231994629
location	BDFG	32	4	0.9112038140643623	0.6959183673469388	126570	192.9658203125	20.662356853485107
location	BDFG	32	8	0.899880810488677	0.7204081632653061	126570	192.9658203125	21.874446392059326
location	BDFG	32	16	0.9016686531585221	0.7163265306122449	126570	192.9658203125	20.553361177444458
location	BDFG	32	32	0.8945172824791419	0.7122448979591837	126570	192.9658203125	20.966623783111572
location	BEFG	32	2	0.8969010727056019	0.7204081632653061	139626	211.16796875	22.193920850753784
location	BEFG	32	4	0.898092967818832	0.689795918367347	139626	211.16796875	22.63862442970276
location	BEFG	32	8	0.8969010727056019	0.7061224489795919	139626	211.16796875	21.204499006271362
location	BEFG	32	16	0.8945172824791419	0.7183673469387755	139626	211.16796875	22.798032999038696
location	BEFG	32	32	0.8974970202622169	0.7244897959183674	139626	211.16796875	21.2331063747406
location	CDEF	32	2	0.8963051251489869	0.7081632653061225	91754	144.4267578125	18.584836721420288
location	CDEF	32	4	0.9052443384982122	0.7244897959183674	91754	144.4267578125	18.707062244415283
location	CDEF	32	8	0.8969010727056019	0.7306122448979592	91754	144.4267578125	18.518996715545654
location	CDEF	32	16	0.901072705601907	0.6938775510204082	91754	144.4267578125	18.351983547210693
location	CDEF	32	32	0.9058402860548271	0.7142857142857143	91754	144.4267578125	18.094034433364868
location	CDEG	32	2	0.8456495828367103	0.6285714285714286	91754	144.4267578125	18.268468379974365
location	CDEG	32	4	0.8456495828367103	0.6448979591836734	91754	144.4267578125	19.527029037475586
location	CDEG	32	8	0.8492252681764004	0.6408163265306123	91754	144.4267578125	18.463092803955078
location	CDEG	32	16	0.8528009535160905	0.6612244897959184	91754	144.4267578125	19.73893141746521
location	CDEG	32	32	0.8456495828367103	0.6428571428571429	91754	144.4267578125	18.836206674575806
location	CDFG	32	2	0.8974970202622169	0.7346938775510204	109162	168.6962890625	19.83726143836975
location	CDFG	32	4	0.8951132300357568	0.7285714285714285	109162	168.6962890625	20.227973461151123
location	CDFG	32	8	0.901072705601907	0.7183673469387755	109162	168.6962890625	19.502452611923218
location	CDFG	32	16	0.9058402860548271	0.7122448979591837	109162	168.6962890625	19.34035563468933
location	CDFG	32	32	0.8969010727056019	0.7040816326530612	109162	168.6962890625	19.88521933555603
location	CEFG	32	2	0.902264600715137	0.710204081632653	122218	186.8984375	21.05142593383789
location	CEFG	32	4	0.898092967818832	0.7040816326530612	122218	186.8984375	20.59508776664734
location	CEFG	32	8	0.899880810488677	0.710204081632653	122218	186.8984375	20.72348976135254
location	CEFG	32	16	0.900476758045292	0.7122448979591837	122218	186.8984375	20.44394326210022
location	CEFG	32	32	0.9034564958283671	0.710204081632653	122218	186.8984375	19.931377410888672
location	DEFG	32	2	0.9028605482717521	0.7163265306122449	91754	144.4267578125	18.439147233963013
location	DEFG	32	4	0.9040524433849821	0.7224489795918367	91754	144.4267578125	17.650832414627075
location	DEFG	32	8	0.8986889153754469	0.7224489795918367	91754	144.4267578125	18.125705003738403
location	DEFG	32	16	0.9028605482717521	0.710204081632653	91754	144.4267578125	18.423566102981567
location	DEFG	32	32	0.9052443384982122	0.7204081632653061	91754	144.4267578125	18.41822099685669
location	BCDEF	32	2	0.8903456495828367	0.689795918367347	143978	217.2353515625	22.217272520065308
location	BCDEF	32	4	0.8963051251489869	0.6959183673469388	143978	217.2353515625	22.236815929412842
location	BCDEF	32	8	0.899284862932062	0.7061224489795919	143978	217.2353515625	22.02677845954895
location	BCDEF	32	16	0.8861740166865316	0.689795918367347	143978	217.2353515625	21.75163984298706
location	BCDEF	32	32	0.8903456495828367	0.7061224489795919	143978	217.2353515625	22.26853632926941
