Dataset	Embedding	Hidden Dimension	Seed	Best Val Metric	Test Metric	Parameter Count	Max Memory	Run Time
gfp	BC	32	2	0.7633621114001791	0.6647770972708704	87105	138.21435546875	70.37828707695007
gfp	BC	32	4	0.7705841511799643	0.664583342747472	87105	138.21435546875	61.734981536865234
gfp	BC	32	8	0.76593770323529	0.6667918678502243	87105	138.21435546875	59.926655292510986
gfp	BC	32	16	0.765481262211678	0.6660570706019914	87105	138.21435546875	59.70570373535156
gfp	BC	32	32	0.770347905969364	0.6644548684357339	87105	138.21435546875	59.19527196884155
gfp	BD	32	2	0.7262396814923345	0.6394503533013877	56641	95.74267578125	49.46048545837402
gfp	BD	32	4	0.728662947424702	0.6385074917598548	56641	95.74267578125	46.59251952171326
gfp	BD	32	8	0.7260080936258629	0.636545656409528	56641	95.74267578125	47.10449838638306
gfp	BD	32	16	0.7299825392569244	0.6380661338094278	56641	95.74267578125	48.4118971824646
gfp	BD	32	32	0.7266848757630487	0.6413027951053238	56641	95.74267578125	46.284385681152344
gfp	BE	32	2	0.7218208725136303	0.6393828512219342	69697	113.94482421875	57.81710147857666
gfp	BE	32	4	0.7335747070802009	0.6411421853086958	69697	113.94482421875	53.85556411743164
gfp	BE	32	8	0.7363175943739522	0.6418446067618004	69697	113.94482421875	55.5117290019989
gfp	BE	32	16	0.7324599142863528	0.6422057624087238	69697	113.94482421875	55.74095916748047
gfp	BE	32	32	0.727929469284258	0.6421513752347596	69697	113.94482421875	53.93411374092102
gfp	BF	32	2	0.7534339703557097	0.6567629807137754	87105	138.21435546875	66.92149090766907
gfp	BF	32	4	0.7529896520642321	0.6543685716615704	87105	138.21435546875	62.07550001144409
gfp	BF	32	8	0.7544028387910284	0.6527756221820851	87105	138.21435546875	57.99116063117981
gfp	BF	32	16	0.7524806080323203	0.6560173521131275	87105	138.21435546875	59.392913579940796
gfp	BF	32	32	0.7607509141679343	0.6561202412220074	87105	138.21435546875	61.82202076911926
gfp	BG	32	2	0.7276162690394302	0.6393412943425062	87105	138.21435546875	67.83419132232666
gfp	BG	32	4	0.7343615930419771	0.640886462554512	87105	138.21435546875	59.943506956100464
