Dataset	Embedding	Hidden Dimension	Seed	Best Val Metric	Test Metric	Parameter Count
stability	BC	32	2	0.6639279797207699	0.7413035005597224	87105
stability	BC	32	4	0.6849061746879458	0.7730377895991473	87105
stability	BC	32	8	0.6776362460566933	0.7238100551016795	87105
stability	BC	32	16	0.6637411164915482	0.8065601033747125	87105
stability	BC	32	32	0.6787923742163132	0.7305630504978289	87105
stability	BD	32	2	0.6518176079449469	0.7727917081684439	56641
stability	BD	32	4	0.6610438935608673	0.7672956705648104	56641
stability	BD	32	8	0.6489732545340198	0.8385813964199291	56641
stability	BD	32	16	0.6515492635337742	0.8181284162141276	56641
stability	BD	32	32	0.6609998956679164	0.8063130456098341	56641
stability	BE	32	2	0.6570170348034168	0.7537621370386811	69697
stability	BE	32	4	0.6370217562826304	0.7522857643151342	69697
stability	BE	32	8	0.6522161259460629	0.7404458516807318	69697
stability	BE	32	16	0.6584536443258305	0.7650129734367123	69697
stability	BE	32	32	0.6533847934112096	0.7328497926470054	69697
stability	BF	32	2	0.6706707156280548	0.8052616650148096	87105
stability	BF	32	4	0.665627341524495	0.8023704854655347	87105
stability	BF	32	8	0.6711568687224757	0.8159405183687536	87105
stability	BF	32	16	0.6573343712245349	0.8382387396516272	87105
stability	BF	32	32	0.6650295665143146	0.7063555245983111	87105
stability	BG	32	2	0.6607896245463628	0.789301846469063	87105
stability	BG	32	4	0.6587751623523606	0.821947750950877	87105
stability	BG	32	8	0.6536865751024503	0.7851408197021	87105
stability	BG	32	16	0.6648095740213312	0.7925636520313771	87105
stability	BG	32	32	0.6571148291805822	0.7400773745329946	87105
stability	CD	32	2	0.661458644694968	0.7131620925535983	39233
stability	CD	32	4	0.6646795649679129	0.7043710862182946	39233
stability	CD	32	8	0.6713268190629064	0.7104603365459227	39233
stability	CD	32	16	0.6617022184941489	0.7274543928393585	39233
stability	CD	32	32	0.6579815912607768	0.733082606184032	39233
stability	CE	32	2	0.6651194155762276	0.75397839791805	52289
stability	CE	32	4	0.677687549930096	0.6368897851276205	52289
stability	CE	32	8	0.6672456213047256	0.778435540134069	52289
stability	CE	32	16	0.6610570924745183	0.7010643989788895	52289
stability	CE	32	32	0.6604905600791534	0.7002463561990803	52289
stability	CF	32	2	0.6674569810745243	0.7002965186894043	69697
stability	CF	32	4	0.6597492010234128	0.707121505672384	69697
stability	CF	32	8	0.6608670555991206	0.6641134059405387	69697
stability	CF	32	16	0.6611779907231339	0.7061011560028845	69697
stability	CF	32	32	0.6636186826497791	0.6643373349897486	69697
stability	CG	32	2	0.6589031477918988	0.6260291554262084	69697
stability	CG	32	4	0.6581683295313808	0.6652911912066743	69697
stability	CG	32	8	0.6584555857990049	0.7062222565716147	69697
stability	CG	32	16	0.6525597015910007	0.6307536384065935	69697
stability	CG	32	32	0.664563599148	0.6770726523120453	69697
stability	DE	32	2	0.6371813262661694	0.6400283652191727	21825
stability	DE	32	4	0.6323603027776963	0.6915271242180083	21825
stability	DE	32	8	0.6301541979899875	0.6452722111952955	21825
stability	DE	32	16	0.6339802848010279	0.6957030595662407	21825
stability	DE	32	32	0.6343080137247784	0.6587682279496069	21825
stability	DF	32	2	0.6346183265477781	0.6483860342024432	39233
stability	DF	32	4	0.6387899868776915	0.6003838770007749	39233
stability	DF	32	8	0.6399628876394473	0.7006967137871601	39233
stability	DF	32	16	0.6455702070351238	0.6219467120034654	39233
stability	DF	32	32	0.640206793634267	0.6316113408240192	39233
stability	DG	32	2	0.6476925594364307	0.6351991152247873	39233
stability	DG	32	4	0.6355601897306169	0.6243899081785388	39233
stability	DG	32	8	0.6441299801974247	0.6377900204506668	39233
stability	DG	32	16	0.6515902869781165	0.627591919513333	39233
stability	DG	32	32	0.6451269886404363	0.6363035212388182	39233
stability	EF	32	2	0.6430135617558972	0.7544235301458513	52289
stability	EF	32	4	0.6443308313236672	0.7334513793061542	52289
stability	EF	32	8	0.6634693216029997	0.7365912311471496	52289
stability	EF	32	16	0.6452127386049601	0.6833777566907837	52289
stability	EF	32	32	0.6545855198732846	0.7628459965044074	52289
stability	EG	32	2	0.6428480167080529	0.5347235577648461	52289
stability	EG	32	4	0.6511583141545436	0.6335771649722649	52289
stability	EG	32	8	0.6449597009439819	0.6466902808074135	52289
stability	EG	32	16	0.6430149341923278	0.6681791609589396	52289
stability	EG	32	32	0.6470513421797301	0.6513747694497862	52289
stability	FG	32	2	0.6519098648931662	0.595123562830786	69697
stability	FG	32	4	0.6473176335807769	0.7159429891687629	69697
stability	FG	32	8	0.6458883288744245	0.624380321566125	69697
stability	FG	32	16	0.6461942939179582	0.6012594644860113	69697
stability	FG	32	32	0.65259369872822	0.7006476431458925	69697
stability	BCD	32	2	0.6690170391206604	0.730414255248729	91457
stability	BCD	32	4	0.6737247472959547	0.7771349460530687	91457
stability	BCD	32	8	0.6801694472468667	0.8485127436888111	91457
stability	BCD	32	16	0.6738105233901633	0.7570299140838124	91457
stability	BCD	32	32	0.6658779524386375	0.7933032293680595	91457
stability	BCE	32	2	0.677080576675007	0.7876819346736778	104513
stability	BCE	32	4	0.6733029048071166	0.7345547642549396	104513
stability	BCE	32	8	0.6557936665490882	0.7850829450538196	104513
stability	BCE	32	16	0.6802123183889223	0.808497697895778	104513
stability	BCE	32	32	0.6732004352232489	0.7585730641027757	104513
stability	BCF	32	2	0.6627568394941071	0.7997146585661651	121921
stability	BCF	32	4	0.6729198822285463	0.7457391532139556	121921
stability	BCF	32	8	0.670185408010104	0.7662803381656637	121921
stability	BCF	32	16	0.6744532437503731	0.7839323211700702	121921
stability	BCF	32	32	0.6846364227182357	0.8248771829955108	121921
stability	BCG	32	2	0.6657149156295397	0.7144160898312075	121921
stability	BCG	32	4	0.6823420450616922	0.7241758232818106	121921
stability	BCG	32	8	0.6595429618095404	0.771719325765927	121921
stability	BCG	32	16	0.66725433667343	0.7945793210881192	121921
stability	BCG	32	32	0.6554443211601146	0.7277133139351467	121921
stability	BDE	32	2	0.6659224265205635	0.7541377878546516	74049
stability	BDE	32	4	0.6645392943827568	0.8004772127916601	74049
stability	BDE	32	8	0.6546386079001243	0.7833358704998086	74049
stability	BDE	32	16	0.6540600081153836	0.7726121276184073	74049
stability	BDE	32	32	0.668112881549219	0.7964315216957433	74049
stability	BDF	32	2	0.6606333709697244	0.8215482084512601	91457
stability	BDF	32	4	0.6533476701874181	0.7433455515992419	91457
stability	BDF	32	8	0.6709898467643081	0.842125988403773	91457
stability	BDF	32	16	0.6557002318531446	0.8138225147058737	91457
stability	BDF	32	32	0.6716660040696109	0.7988225205299084	91457
stability	BDG	32	2	0.6567583025582243	0.7122719084669128	91457
stability	BDG	32	4	0.6588852361972145	0.7599145429054175	91457
stability	BDG	32	8	0.6633175187018817	0.8230752300452542	91457
stability	BDG	32	16	0.664153401511839	0.6719294686411351	91457
stability	BDG	32	32	0.6687341906906009	0.8101214483982204	91457
stability	BEF	32	2	0.6665393912898063	0.7514866189088151	104513
stability	BEF	32	4	0.6739853229754148	0.7571593882968594	104513
stability	BEF	32	8	0.6552096052085443	0.7386356339391057	104513
stability	BEF	32	16	0.666124363199467	0.8049497073967237	104513
stability	BEF	32	32	0.6538258644322112	0.7488358674296296	104513
stability	BEG	32	2	0.6483959687854955	0.7151305244915396	104513
stability	BEG	32	4	0.6651680470377351	0.7871724687877643	104513
stability	BEG	32	8	0.6633957496388715	0.7552891055817191	104513
stability	BEG	32	16	0.6602426692715094	0.7613819451863072	104513
stability	BEG	32	32	0.6423219066245112	0.7824134734958359	104513
stability	BFG	32	2	0.6537522900036183	0.7663162467083291	121921
stability	BFG	32	4	0.6674479759474	0.7563310570297018	121921
stability	BFG	32	8	0.6550922187799995	0.777882032816521	121921
stability	BFG	32	16	0.6550028095683161	0.6806231180528259	121921
stability	BFG	32	32	0.6730868936779172	0.7482120066271646	121921
stability	CDE	32	2	0.6688181422769718	0.7091625569441011	56641
stability	CDE	32	4	0.6635584953698956	0.7496166809574627	56641
stability	CDE	32	8	0.662941367745009	0.6769715556401023	56641
stability	CDE	32	16	0.6700091245927521	0.7087327148167079	56641
stability	CDE	32	32	0.6584683501618264	0.6781802111045305	56641
stability	CDF	32	2	0.6650359675578252	0.7552142970551037	74049
stability	CDF	32	4	0.6658554504276566	0.7014296732935543	74049
stability	CDF	32	8	0.6585618001016594	0.7073508219034287	74049
stability	CDF	32	16	0.6583426332441702	0.710847891340271	74049
stability	CDF	32	32	0.6476432740201304	0.7252071741402393	74049
stability	CDG	32	2	0.6569595913149898	0.6714879819485632	74049
stability	CDG	32	4	0.656863009082779	0.646976006339045	74049
stability	CDG	32	8	0.6668687408211752	0.7199610852205417	74049
stability	CDG	32	16	0.6628986549182978	0.652129287861216	74049
stability	CDG	32	32	0.6581739215343453	0.7036369603312111	74049
stability	CEF	32	2	0.6516340154631959	0.6916354962507265	87105
stability	CEF	32	4	0.6629328988863595	0.762527985322792	87105
stability	CEF	32	8	0.6589325294955778	0.7419818471044494	87105
stability	CEF	32	16	0.6579672150165902	0.6831830956354741	87105
stability	CEF	32	32	0.6587803762052564	0.7035265781452235	87105
stability	CEG	32	2	0.6598636510822469	0.6335837504895071	87105
stability	CEG	32	4	0.6698883981961195	0.663922774996268	87105
stability	CEG	32	8	0.6690643478753017	0.699633071943138	87105
stability	CEG	32	16	0.6672505195913825	0.715965940501506	87105
stability	CEG	32	32	0.6628615473813991	0.7299053231966723	87105
stability	CFG	32	2	0.6518769219278925	0.7101488916093237	104513
stability	CFG	32	4	0.6780464616611439	0.7177976306143992	104513
stability	CFG	32	8	0.6429892749556645	0.6862555806967268	104513
stability	CFG	32	16	0.6496498409779774	0.6572544067804661	104513
stability	CFG	32	32	0.6599967801230868	0.5499677465405043	104513
stability	DEF	32	2	0.6492793330233586	0.6523980454876614	56641
stability	DEF	32	4	0.6478598000615442	0.7358877511214578	56641
stability	DEF	32	8	0.6380184090602461	0.680086563152504	56641
stability	DEF	32	16	0.648658877715228	0.6792479237980289	56641
stability	DEF	32	32	0.6475610081349246	0.7301727891578139	56641
stability	DEG	32	2	0.6204854401425896	0.6450861093798054	56641
stability	DEG	32	4	0.650803192630338	0.6121186264356577	56641
stability	DEG	32	8	0.645203482616249	0.6429578457697416	56641
stability	DEG	32	16	0.6292730466303029	0.6362363513735114	56641
stability	DEG	32	32	0.6531471340643237	0.616485035183163	56641
stability	DFG	32	2	0.646636595999851	0.5799326542755715	74049
stability	DFG	32	4	0.6442372385967728	0.5589609491470111	74049
stability	DFG	32	8	0.6653615924946988	0.7378375188000794	74049
stability	DFG	32	16	0.6566507464930109	0.6431229948131838	74049
stability	DFG	32	32	0.6551299372620536	0.6804905132967701	74049
stability	EFG	32	2	0.6406474066061811	0.6383369199915341	87105
stability	EFG	32	4	0.6473595764131697	0.7361303123604421	87105
stability	EFG	32	8	0.6415040369186261	0.7249749020738787	87105
stability	EFG	32	16	0.640505122026861	0.7045882355561446	87105
stability	EFG	32	32	0.648284641253928	0.6051684947431023	87105
stability	BCDE	32	2	0.6717581981161825	0.7353391232165943	108865
stability	BCDE	32	4	0.6553987508593715	0.8106544096079772	108865
stability	BCDE	32	8	0.6730657059182253	0.7676775329322456	108865
stability	BCDE	32	16	0.6577532711565468	0.8330285865474167	108865
stability	BCDE	32	32	0.6610478050219717	0.7936221246549511	108865
stability	BCDF	32	2	0.6549169237008144	0.825972515639967	126273
stability	BCDF	32	4	0.6804791918984422	0.79287072557706	126273
stability	BCDF	32	8	0.6680376011686859	0.7574926933581095	126273
stability	BCDF	32	16	0.6641735259847018	0.8018932906370327	126273
stability	BCDF	32	32	0.6734975279349962	0.7891848362959032	126273
stability	BCDG	32	2	0.6607511845245931	0.780848809377859	126273
stability	BCDG	32	4	0.6857243638719667	0.7267939797850511	126273
stability	BCDG	32	8	0.6660120208327307	0.8177043128060493	126273
stability	BCDG	32	16	0.6811354567689121	0.7852873962377676	126273
stability	BCDG	32	32	0.6739240316249785	0.8219267340356579	126273
stability	BCEF	32	2	0.6674462323764822	0.7997486681125955	139329
stability	BCEF	32	4	0.6732319719547847	0.7217345812561334	139329
stability	BCEF	32	8	0.6665785676121823	0.8316455200050341	139329
stability	BCEF	32	16	0.6821663360379184	0.7475220260192365	139329
stability	BCEF	32	32	0.6801442985639351	0.7878656523726024	139329
stability	BCEG	32	2	0.6861205606808652	0.7703010224363264	139329
stability	BCEG	32	4	0.673152478198039	0.7088479358638009	139329
stability	BCEG	32	8	0.6691903505820486	0.7489140216300803	139329
stability	BCEG	32	16	0.6720910872407247	0.6809073107511492	139329
stability	BCEG	32	32	0.6681426212782406	0.7609364263375445	139329
stability	BCFG	32	2	0.6826638715890285	0.7594433632198608	156737
stability	BCFG	32	4	0.6632564901140157	0.7613107892053297	156737
stability	BCFG	32	8	0.669301449860872	0.7704649641581023	156737
stability	BCFG	32	16	0.6621906179345506	0.8053252803753312	156737
stability	BCFG	32	32	0.6709431993054296	0.7742218975980457	156737
stability	BDEF	32	2	0.6657140628046105	0.7031370511650428	108865
stability	BDEF	32	4	0.6552190432723305	0.8062767204384436	108865
stability	BDEF	32	8	0.6645016966513251	0.7519854039260594	108865
stability	BDEF	32	16	0.6573973234579542	0.7170563206821159	108865
stability	BDEF	32	32	0.6515961566686508	0.80332105409776	108865
stability	BDEG	32	2	0.6592082236717581	0.6810409799006005	108865
stability	BDEG	32	4	0.6565075867916605	0.6946981955413303	108865
stability	BDEG	32	8	0.6603438416378751	0.7704836888473539	108865
stability	BDEG	32	16	0.6640585006072696	0.7888698585076878	108865
stability	BDEG	32	32	0.6399558283914955	0.7962912414089311	108865
stability	BDFG	32	2	0.6755243588680228	0.7558757122411658	126273
stability	BDFG	32	4	0.6689595393632326	0.7857767525333877	126273
stability	BDFG	32	8	0.6691805262508405	0.7951830800568509	126273
stability	BDFG	32	16	0.6589985858285475	0.7337414418652871	126273
stability	BDFG	32	32	0.666946146512517	0.7865941557382472	126273
stability	BEFG	32	2	0.657400938506557	0.8208411490037825	139329
stability	BEFG	32	4	0.656907281236506	0.7750673979733393	139329
stability	BEFG	32	8	0.6568421583768601	0.8191055037513669	139329
stability	BEFG	32	16	0.6628936348082396	0.7769152237324836	139329
stability	BEFG	32	32	0.6539759617945651	0.7487874980187382	139329
stability	CDEF	32	2	0.6647113719688669	0.7289530481744131	91457
stability	CDEF	32	4	0.6581182671524912	0.5165068795985016	91457
stability	CDEF	32	8	0.678453906436264	0.7558206921088626	91457
stability	CDEF	32	16	0.6796149831002335	0.7129038861085412	91457
stability	CDEF	32	32	0.6659295932024917	0.7440807773098757	91457
stability	CDEG	32	2	0.6546252390271332	0.636606646324393	91457
stability	CDEG	32	4	0.6556019855128343	0.6289588770268211	91457
stability	CDEG	32	8	0.647173501496598	0.7031541619494209	91457
