Dataset	Embedding	Hidden Dimension	Seed	Best Val Metric	Test Metric	Parameter Count
stability	CDEG	32	16	0.6614772853357304	0.6627800531227388	91457
stability	CDEG	32	32	0.6684099506649296	0.6599824933621293	91457
stability	CDFG	32	2	0.6598171823093388	0.6039967107050013	108865
stability	CDFG	32	4	0.6679521903545735	0.6958642659598208	108865
stability	CDFG	32	8	0.6614551010354304	0.6366276202565451	108865
stability	CDFG	32	16	0.6664578328879205	0.6554334521497073	108865
stability	CDFG	32	32	0.664543440785009	0.6159318957216984	108865
stability	CEFG	32	2	0.6740523732599268	0.6907866119161546	121921
stability	CEFG	32	4	0.6726362858236419	0.7158023775101642	121921
stability	CEFG	32	8	0.6684925524183232	0.6926854639337581	121921
stability	CEFG	32	16	0.6631074794270277	0.6884648895459753	121921
stability	CEFG	32	32	0.6532292008255435	0.7075408346757013	121921
stability	DEFG	32	2	0.6604970003647038	0.7197679745901027	91457
stability	DEFG	32	4	0.6474594023533153	0.6872063579706006	91457
stability	DEFG	32	8	0.6495878444287649	0.67875691012975	91457
stability	DEFG	32	16	0.6412105705108386	0.6953307653781565	91457
stability	DEFG	32	32	0.6566013998050418	0.632086171555742	91457
stability	BCDEF	32	2	0.6691692593471489	0.7454811748007335	143681
stability	BCDEF	32	4	0.6839621364797882	0.7708827642770592	143681
stability	BCDEF	32	8	0.6738068319792848	0.7753060856736108	143681
stability	BCDEF	32	16	0.6697979727636926	0.7035619581830443	143681
stability	BCDEF	32	32	0.6598311731048149	0.7345932584411196	143681
stability	BCDEG	32	2	0.6660363113913328	0.714142378312288	143681
stability	BCDEG	32	4	0.6764667853628274	0.7577353979455687	143681
stability	BCDEG	32	8	0.6791449789038768	0.7442030824835715	143681
stability	BCDEG	32	16	0.6697170242946714	0.7782138346843653	143681
stability	BCDEG	32	32	0.6648412621643057	0.7061389318026512	143681
stability	BCDFG	32	2	0.6719297763609793	0.6891016595876782	161089
stability	BCDFG	32	4	0.6743751907751304	0.7746081980505334	161089
stability	BCDFG	32	8	0.6662115409850704	0.7341866405305267	161089
stability	BCDFG	32	16	0.6772753409940532	0.7821737321661908	161089
stability	BCDFG	32	32	0.6753593870134922	0.7202285682572543	161089
stability	BCEFG	32	2	0.6665824937107909	0.7312780437776688	174145
stability	BCEFG	32	4	0.6634395476791406	0.7876317838038043	174145
stability	BCEFG	32	8	0.6772080821402842	0.7531065022759073	174145
stability	BCEFG	32	16	0.6629926561837794	0.7328803374732019	174145
stability	BCEFG	32	32	0.655824619378368	0.7817504724050869	174145
stability	BDEFG	32	2	0.6609922403055694	0.7607998747212117	143681
stability	BDEFG	32	4	0.6627699305909379	0.7350671651353031	143681
stability	BDEFG	32	8	0.6579851546223908	0.767610434008957	143681
stability	BDEFG	32	16	0.6562593092460803	0.7954785127498237	143681
stability	BDEFG	32	32	0.6642000562970126	0.7751282660495594	143681
stability	CDEFG	32	2	0.6591603939338192	0.7559942716662553	126273
stability	CDEFG	32	4	0.663249865863567	0.7263294772653669	126273
stability	CDEFG	32	8	0.6626967587419542	0.7333354533509167	126273
stability	CDEFG	32	16	0.6671095576863972	0.6415467605565648	126273
stability	CDEFG	32	32	0.658367006700535	0.6603015739947103	126273
stability	BCDEFG	32	2	0.6705988119609276	0.766518160227999	178497
stability	BCDEFG	32	4	0.6580465552087499	0.7538727989887134	178497
stability	BCDEFG	32	8	0.6709986910849783	0.8076113497333919	178497
stability	BCDEFG	32	16	0.66494294478722	0.7532542574226612	178497
stability	BCDEFG	32	32	0.6738666996836675	0.72851274486159	178497
stability	BB	32	2	0.6540834945769471	0.8364374237881165	104513
stability	BB	32	4	0.6595530548960525	0.7780937748934957	104513
stability	BB	32	8	0.6717362744279296	0.7256497426039498	104513
stability	BB	32	16	0.6551493218289588	0.8269046108308532	104513
stability	BB	32	32	0.6672485889689266	0.7471283305126678	104513
