Embedding	Hidden Dimension	Seed	Test AUROC	Test PRC	Test Accuracy	Test Sensitivity	Test Specificity	Test Precision	Test F1	Test MCC	Best Val AUROC	Best Val PRC	Best Val Accuracy	Best Val Sensitivity	Best Val Specificity	Best Val Precision	Best Val F1	Best Val MCC	Parameter Count
B	1024	2	0.716721416185008	0.7132691071228013	0.6525514909314479	0.6902090378112512	0.6148939440516447	0.6418667810177244	0.6651607169308251	0.30597200817606646	0.6630978889257303	0.6652429875542347	0.6157610529868377	0.6252784340195747	0.6062436719541006	0.6135987282241505	0.6193835250066863	0.23156406017028075	0.6503915356294231
B	1024	4	0.7152686054521877	0.7122941038648454	0.6513794958499847	0.6425222871195819	0.6602367045803873	0.6541094550717834	0.6482640975439549	0.30280650585724195	0.6606343627884874	0.6632963656628248	0.6127067161660479	0.5866351670604117	0.6387782652716841	0.618906889798825	0.6023390799618816	0.2257204972277252	0.6516939643545405
B	1024	8	0.716791830508035	0.7132244212646017	0.6518213956347987	0.6638103289271442	0.6398324623424532	0.6482662864004803	0.6559462332928311	0.30373011682910744	0.6602268317916697	0.662836246602657	0.6120485993925076	0.6017887276409045	0.6223084711441107	0.6143959754668872	0.608027006751688	0.22414439285826515	0.6523040813406777
B	1024	16	0.7164424418073638	0.7121530524023832	0.6526667691361819	0.6596603135567168	0.6456732247156471	0.650560860997423	0.6550789895443792	0.305363410176772	0.6606378533582539	0.6620419386805637	0.6117448531893351	0.6033074586567668	0.6201822477219034	0.6136628904909028	0.6084411164057182	0.22352153347355516	0.6522074818047888
B	1024	32	0.7159177326937636	0.7116536159834739	0.6524938518290808	0.6646172763602828	0.6403704272978789	0.6488838867004314	0.6566563526262836	0.3050773958213413	0.6608777538567977	0.6608931639668814	0.6138035774552818	0.6097536280796491	0.6178535268309147	0.6147329023477374	0.6122331413080313	0.22761462174403466	0.6523488760597996
C	1024	2	0.7087862559049516	0.7072186522129839	0.6470949892407009	0.6142791269597295	0.6799108515216723	0.6574272084224378	0.6351211760031784	0.2948256479297711	0.653926221804779	0.6599462507142696	0.6067330408369895	0.5858589267634154	0.6276071549105636	0.6113830873806925	0.5983489305964876	0.21365235176922623	0.653831159259836
C	1024	4	0.7068857749802047	0.7055409049746065	0.6450776206578542	0.616623117122656	0.6735321241930525	0.6538320498716539	0.634682698202385	0.2906262391399481	0.6527153352365074	0.658246600155637	0.6058218022274722	0.5987175160310496	0.6129260884238947	0.6073470505666062	0.6030014106290046	0.21166497136914547	0.6544273459504997
C	1024	8	0.7037246358123017	0.704960686879926	0.6430218260067629	0.6015985244389794	0.6844451275745466	0.6559410088821853	0.6275956065100617	0.28703037307708623	0.651705644221128	0.6613182732102914	0.6045561930475869	0.5760715491056362	0.6330408369895376	0.6108725216519935	0.5929618564580005	0.20945255142400052	0.6540161512729247
C	1024	16	0.7078131663727558	0.7058227743909832	0.6431563172456194	0.5755456501690747	0.7107669843221641	0.6655409908909131	0.6172803890457251	0.2889666728494521	0.6539020070804633	0.6604376172146954	0.6065642929463382	0.5540330745865677	0.6590955113061087	0.6190745559452426	0.5847507435838069	0.21431468316953245	0.6538080963378736
C	1024	32	0.7065989726052964	0.7055099771902964	0.6444628035659391	0.5969873962496157	0.6919382108822625	0.6596187322209485	0.6267422393448575	0.29023690761540316	0.6512578375507397	0.6593367123304602	0.6048936888288896	0.5704691191360108	0.6393182585217685	0.6126495106922798	0.5908074099965047	0.21028636983649046	0.6546760629730534
D	1024	2	0.7236197237866174	0.7232754378783433	0.6611973562865048	0.7201045189056255	0.6022901936673839	0.644207631488484	0.6800449976412527	0.3246557315617958	0.679161004053936	0.6923632103662717	0.6226459669254134	0.655923050961863	0.5893688828889639	0.6149927219796215	0.6347987980141102	0.2458370003543258	0.6415735843452778
D	1024	4	0.7241852414024124	0.7238448318364263	0.6620619428220105	0.7164156163541346	0.6077082692898863	0.6461719751845562	0.6794832079013065	0.32605616083733363	0.6792257849054983	0.6923892384536645	0.6237597030037124	0.6530205872426594	0.5944988187647654	0.6169174850146665	0.6344558481162081	0.24794434973641727	0.6415655729419028
D	1024	8	0.7239684480340642	0.7238595328924089	0.6616392560713188	0.7150707039655703	0.6082078081770673	0.6460336747092519	0.678801364241551	0.3251403418642165	0.6777954850741551	0.6915678306074643	0.6212791090111374	0.6564630442119473	0.5860951738103274	0.6133060066214725	0.6341511125601108	0.243160987616443	0.6426595157881746
D	1024	16	0.7234871513410166	0.7230381643445289	0.6628304641869044	0.7160313556716876	0.6096295727021211	0.647171187441392	0.679862086578981	0.32752018929870946	0.6783114521100548	0.6914944472800544	0.6225784677691529	0.653830577117786	0.5913263584205197	0.6153675115939267	0.6340162324911637	0.24563723008234314	0.6421139274341933
D	1024	32	0.7234067200164922	0.7227770463319191	0.6609283738087919	0.7160313556716876	0.6058253919458961	0.6449536203793438	0.6786364629616142	0.3238292657525983	0.6782260427828013	0.6914639499375421	0.6215322308471144	0.6505231184610193	0.5925413432332096	0.6148717621538854	0.6321952179474565	0.24347407231916865	0.6418979698848049
E	1024	2	0.7363567406009577	0.7325484959902913	0.6738971718413772	0.6786043652013526	0.6691899784814018	0.6722753054931668	0.6754250090834337	0.3478097573314766	0.6869297582776166	0.695998001660212	0.6336820789740129	0.6071886601417482	0.6601754978062774	0.6411617961511048	0.6237129485179407	0.2677402765967771	0.6348139504544685
E	1024	4	0.7357920801298222	0.7326349576445936	0.6748001844451276	0.6815247463879496	0.6680756225023056	0.6724804731932964	0.6769724035268522	0.3496319908510313	0.687147686240321	0.695584142302924	0.6344076949038137	0.6123860951738104	0.656429294633817	0.6406001765225067	0.6261754809766199	0.26907649424362157	0.6348166370448172
E	1024	8	0.7360432914369095	0.7322490258946149	0.6738587457731325	0.6679987703658161	0.6797187211804488	0.6759205256814028	0.671936300562395	0.3477413747653963	0.6866368089779573	0.6952216723243472	0.6341208234897063	0.5988187647654404	0.6694228822139723	0.6443096811678408	0.6207318779736916	0.26891274149513167	0.6351165832356348
E	1024	16	0.7367730072569396	0.7333584179787124	0.6746656932062711	0.6746464801721488	0.6746849062403935	0.674672405180033	0.674659442427037	0.3493313866704471	0.686692012831446	0.6958429802540198	0.6327202159973	0.6035099561255485	0.6619304758690516	0.6409548729345138	0.6216690712510213	0.2658945631805801	0.6348015808954538
E	1024	32	0.736889943641609	0.733250135441865	0.6738011066707654	0.6681909007070397	0.6794113126344913	0.675773356132442	0.6719607388515341	0.34762409655766	0.687108016532851	0.6956435094351747	0.6341039487006412	0.6041849476881539	0.6640229497131286	0.6426391930215026	0.6228190721380485	0.2686893615171786	0.6347673960203583
F	1024	2	0.7325117616784771	0.7312118662102749	0.6690747002766677	0.6555487242545343	0.6826006762988011	0.6737756714060031	0.6645372390152695	0.338273198741627	0.6807452124406662	0.6906941515786061	0.630627742153223	0.5734053324333446	0.6878501518731016	0.6475094325241053	0.608208487712327	0.2629833886228671	0.638737901782732
F	1024	4	0.731369941632775	0.7302362192911169	0.6686904395942207	0.6680756225023056	0.6693052566861358	0.6688981224992305	0.6684866195016917	0.33738113424871347	0.6810490850766153	0.6917752215325157	0.6317752278096523	0.591596355045562	0.6719541005737428	0.6432896620059452	0.6163610471351465	0.2644055199960259	0.6380334557249383
F	1024	8	0.7304211223620203	0.7297124781677834	0.6674800184445128	0.6864432831232709	0.6485167537657547	0.6613601865906482	0.6736683322334307	0.33520120397617426	0.6791835654703657	0.6901553829391425	0.6295646304421195	0.6075599055011812	0.6515693553830577	0.635529195791852	0.6212298985437228	0.2593805708827983	0.6396850534801825
F	1024	16	0.7316219724321724	0.7300418044890136	0.6679795573316938	0.650130648632032	0.6858284660313557	0.6741980474198047	0.6619456562139323	0.33617338156014714	0.6817814270023278	0.6926538508428418	0.6317077286533919	0.5670266621667229	0.6963887951400608	0.6512772803039113	0.6062388366680499	0.2656475830175935	0.6380534291629488
F	1024	32	0.729341878306142	0.7280147745793077	0.6663848754995388	0.6831770673224715	0.6495926836766062	0.660978511413488	0.6718944862250105	0.33295757720459934	0.6812738512300827	0.6917493372247495	0.6306614917313533	0.6038812014849815	0.6574417819777253	0.6380558428128231	0.6204983267733601	0.2616986251655458	0.6383351205210407
G	1024	2	0.7232114586240193	0.7155850126730023	0.6587765139870888	0.6491315708576698	0.6684214571165078	0.6618995376537888	0.6554533814456989	0.31761212516233195	0.671332072384701	0.6720426794712486	0.6209247384407695	0.590246371920351	0.651603104961188	0.6288292823241766	0.6089272657637269	0.24230600544703046	0.646158341053085
G	1024	4	0.7232231050124791	0.7149652108946396	0.6588341530894559	0.6582385490316631	0.6594297571472487	0.6590235832724195	0.6586308322279254	0.3176685315611259	0.6715443900353203	0.6698966385375139	0.6229328383395207	0.5976037799527506	0.648261896726291	0.6294926943723559	0.6131338838968818	0.24618176092800673	0.6469975856201012
G	1024	8	0.7240595593367479	0.7164060675563475	0.6589494312941899	0.650130648632032	0.667768213956348	0.6618032466262468	0.6559150206439357	0.3179483207067703	0.6715151191389723	0.671049267671239	0.6231859601754978	0.5931825852176847	0.6531893351333108	0.6310498348413041	0.6115305660902544	0.24681669110494295	0.6463488458581281
G	1024	16	0.7235653700363041	0.7159893185982948	0.6580848447586843	0.6499000922225638	0.6662695972948048	0.6607156809125713	0.6552632598504513	0.3162120585575645	0.6704060815760222	0.673167487221169	0.6190853864326696	0.5743503206209922	0.6638204522443469	0.6307869083361133	0.6012471515130103	0.23912980156152566	0.6463928329876215
G	1024	32	0.7230511607602111	0.7147618749256178	0.6586804488164771	0.6436750691669229	0.6736858284660313	0.6635899061125856	0.6534807966138061	0.3175039091019322	0.6697114547753944	0.6719245012615779	0.6204522443469457	0.5743840701991225	0.6665204184947688	0.6326765799256505	0.6021227666725633	0.2419335773329495	0.6469999089057566
DE	1024	2	0.7437843036527846	0.7405136604812785	0.6798532124193053	0.6885182908084845	0.671188134030126	0.6767894239848914	0.6826034781614888	0.35976045310358534	0.696287314042729	0.7078007267109127	0.6388457644279446	0.6042524468444145	0.6734390820114748	0.649166062364032	0.6259045621394862	0.2783585500656481	0.6277109748601833
DE	1024	4	0.741949220429221	0.7391116918502596	0.677912695972948	0.6737626806025208	0.6820627113433754	0.6794017358958463	0.6765704584040748	0.355837649075614	0.6958070836298144	0.7084688169673774	0.6398076274046575	0.5862301721228484	0.6933850826864664	0.6565866565866566	0.619416956405456	0.2812345082669866	0.6274765412629636
DE	1024	8	0.7420754554676243	0.7397329464444018	0.6770865355056871	0.6638103289271442	0.69036274208423	0.6819168673272017	0.6727417878770179	0.35429798850250427	0.6950066827126187	0.7076657019798188	0.6390988862639218	0.5879176510293621	0.6902801214984813	0.6549610858367485	0.6196311380653423	0.2796668158340946	0.6277170012458289
DE	1024	16	0.7424433322101219	0.7399787008016536	0.677413157085767	0.6645019981555488	0.6903243160159852	0.6821158094035974	0.6731937091248832	0.35494467105592564	0.6941772535133219	0.7068690166151306	0.6381538980762741	0.5894363820452244	0.6868714141073237	0.6530680925849756	0.6196228691040038	0.277628785160575	0.6283690594033619
DE	1024	32	0.7424797878054158	0.7396108036237742	0.6782201045189056	0.6671918229326775	0.6892483861051337	0.6822396856581533	0.6746318529743172	0.35652694333709173	0.695398524085273	0.7070422800722566	0.6392338845764428	0.595308808639892	0.6831589605129936	0.6526436526436526	0.62265915950368	0.2795485875003077	0.6280038452856532
DEF	1024	2	0.7482999572966249	0.7468442879842903	0.682485398094067	0.6678450660928373	0.6971257300952967	0.6879898662022009	0.6777678118784853	0.3651273520489174	0.701076287487176	0.7134596750879191	0.6443300708741141	0.5942625717178536	0.6943975700303746	0.6603908037355136	0.6255839980104098	0.29011831702182117	0.6246090014198926
DEF	1024	4	0.7471637068455054	0.7449522688351577	0.6825814632646787	0.6783353827236397	0.6868275438057178	0.6841452544277797	0.6812279313871149	0.36517609443242355	0.7027530156210543	0.7151191207870218	0.6439082011474857	0.5976712791090112	0.6901451231859602	0.6585719598363704	0.6266454352441614	0.2890549699012727	0.6233270970181038
DEF	1024	8	0.7485134490707294	0.7479685095208088	0.6827159545035352	0.6533584383645865	0.7120734706424838	0.6941133246244284	0.673119556611243	0.3660634474109174	0.7021866896128868	0.714485224019893	0.6459163010462369	0.5757003037462032	0.7161322983462707	0.669755388904158	0.6191763915860541	0.29475351313132053	0.6239863456039867
DEF	1024	16	0.7482731820465283	0.7473640649574221	0.6825814632646787	0.6718029511220412	0.6933599754073163	0.6866040922122295	0.6791228853885447	0.3652478026852398	0.7033826582525464	0.7147715226010053	0.6458994262571718	0.6032399595005062	0.6885588930138373	0.6595085233562099	0.6301205668758373	0.29286673482923475	0.6231298946827358
DEF	1024	32	0.7475066865256871	0.7455426242639088	0.6812365508761143	0.6848293882569936	0.6776437134952352	0.6799435351569951	0.6823777160907437	0.36248246006852713	0.7022467001899567	0.7136906259527173	0.6428957138035775	0.6116436044549444	0.6741478231522106	0.652422780617755	0.6313754180602007	0.2863513304429077	0.6240751335397992
DEFG	1024	2	0.7504596547132496	0.7480839408686939	0.6848870273593606	0.690478020288964	0.6792960344297572	0.6828424852745583	0.6866390263474655	0.3697971745705646	0.6994879028321966	0.7091388328428648	0.6407863651704354	0.6040499493756328	0.6775227809652379	0.6519506064910938	0.6270868734999913	0.28233582223781517	0.6261308838819838
