Embedding	Accuracy	Class 1 Acc	Class 2 Acc	Class 3 Acc	Class 4 Acc	Class 6 Acc
012CDE	0.8123741533955702	1900/2676	1870/2317	5058/5825	44/98	4/10
012CDEF	0.8174995423759839	1916/2676	1878/2317	5087/5825	45/98	6/10
012CDEFG	0.8177741167856489	1909/2676	1876/2317	5097/5825	47/98	6/10
012CDEG	0.8125572030020135	1893/2676	1867/2317	5071/5825	44/98	3/10
012CDF	0.823357129782171	1939/2676	1906/2317	5100/5825	46/98	5/10
012CDFG	0.8225334065531759	1934/2676	1889/2317	5112/5825	47/98	5/10
012CDG	0.8153029470986637	1913/2676	1862/2317	5083/5825	47/98	3/10
012CE	0.775489657697236	1818/2676	1812/2317	4799/5825	42/98	2/10
012CEF	0.7871133077063884	1834/2676	1833/2317	4882/5825	48/98	3/10
012CEFG	0.7899505766062603	1844/2676	1813/2317	4922/5825	47/98	5/10
012CEG	0.7764964305326744	1821/2676	1793/2317	4825/5825	42/98	3/10
012CF	0.7753066080907927	1827/2676	1821/2317	4770/5825	50/98	3/10
012CFG	0.7783269265971078	1828/2676	1805/2317	4818/5825	50/98	3/10
012CG	0.7570931722496796	1787/2676	1761/2317	4673/5825	49/98	2/10
012D	0.8270181219110379	1940/2676	1891/2317	5154/5825	48/98	3/10
012DE	0.8196961376533041	1918/2676	1879/2317	5108/5825	47/98	4/10
012DEF	0.8220757825370676	1933/2676	1882/2317	5115/5825	46/98	6/10
012DEFG	0.8219842577338459	1926/2676	1881/2317	5121/5825	47/98	6/10
012DEG	0.8175910671792056	1909/2676	1875/2317	5102/5825	44/98	3/10
012DF	0.8294892915980231	1953/2676	1907/2317	5149/5825	49/98	5/10
012DFG	0.8295808164012447	1953/2676	1896/2317	5163/5825	47/98	5/10
012DG	0.824455427420831	1934/2676	1875/2317	5150/5825	46/98	3/10
012E	0.7887607541643785	1849/2676	1826/2317	4899/5825	42/98	2/10
012EF	0.7977301848801025	1859/2676	1850/2317	4956/5825	48/98	3/10
012EFG	0.7995606809445359	1853/2676	1834/2317	4998/5825	46/98	5/10
012EG	0.7890353285740436	1836/2676	1810/2317	4932/5825	40/98	3/10
012F	0.7937946183415706	1868/2676	1852/2317	4901/5825	49/98	3/10
