Embedding	Accuracy	Class 1 Acc	Class 2 Acc	Class 3 Acc	Class 4 Acc	Class 6 Acc
1BCDEFG	0.8012081274025261	1853/2676	1846/2317	5004/5825	46/98	5/10
1BCDEG	0.7925132710964672	1821/2676	1817/2317	4975/5825	40/98	6/10
1BCDF	0.8015742266154128	1850/2676	1842/2317	5013/5825	48/98	5/10
1BCDFG	0.8020318506315212	1850/2676	1831/2317	5027/5825	50/98	5/10
1BCDG	0.7926047958996888	1817/2676	1792/2317	5000/5825	47/98	4/10
1BCE	0.6660259930441149	1541/2676	1566/2317	4134/5825	33/98	3/10
1BCEF	0.7251510159253157	1675/2676	1700/2317	4503/5825	42/98	3/10
1BCEFG	0.738788211605345	1704/2676	1702/2317	4617/5825	45/98	4/10
1BCEG	0.6968698517298187	1621/2676	1607/2317	4343/5825	39/98	4/10
1BCF	0.632710964671426	1467/2676	1526/2317	3882/5825	35/98	3/10
1BCFG	0.6871682225883214	1613/2676	1598/2317	4250/5825	43/98	4/10
1BCG	0.5637927878455061	1371/2676	1304/2317	3439/5825	43/98	3/10
1BD	0.8117334797730185	1856/2676	1865/2317	5097/5825	47/98	4/10
1BDE	0.7985539081090975	1823/2676	1837/2317	5016/5825	43/98	6/10
1BDEF	0.8061504667764964	1869/2676	1838/2317	5049/5825	46/98	6/10
1BDEFG	0.8078894380377082	1869/2676	1845/2317	5063/5825	45/98	5/10
1BDEG	0.8023979498444078	1853/2676	1831/2317	5037/5825	40/98	6/10
1BDF	0.8144792238696686	1874/2676	1865/2317	5107/5825	49/98	4/10
1BDFG	0.8153944719018854	1879/2676	1860/2317	5118/5825	48/98	4/10
1BDG	0.8058758923668314	1852/2676	1816/2317	5088/5825	45/98	4/10
1BE	0.6989749222039172	1610/2676	1629/2317	4360/5825	36/98	2/10
1BEF	0.7414424308987736	1710/2676	1717/2317	4633/5825	39/98	2/10
1BEFG	0.7535237049240344	1736/2676	1719/2317	4727/5825	47/98	4/10
1BEG	0.7237781438769907	1676/2676	1637/2317	4551/5825	40/98	4/10
1BF	0.6602599304411495	1517/2676	1566/2317	4097/5825	33/98	1/10
1BFG	0.7165476844224785	1660/2676	1656/2317	4467/5825	43/98	3/10
1BG	0.6376533040453963	1514/2676	1411/2317	3996/5825	44/98	2/10
1C	0.41625480505216916	1083/2676	1124/2317	2305/5825	35/98	1/10
1CD	0.7839099395936299	1769/2676	1811/2317	4935/5825	46/98	4/10
1CDE	0.7828116419549698	1779/2676	1812/2317	4914/5825	42/98	6/10
1CDEF	0.7947098663737873	1834/2676	1830/2317	4968/5825	45/98	6/10
1CDEFG	0.7994691561413143	1850/2676	1836/2317	4998/5825	46/98	5/10
1CDEG	0.790042101409482	1820/2676	1813/2317	4953/5825	40/98	6/10
1CDF	0.7989200073219842	1844/2676	1840/2317	4994/5825	46/98	5/10
1CDFG	0.7980962840929892	1833/2676	1825/2317	5008/5825	49/98	5/10
1CDG	0.7875709317224968	1801/2676	1775/2317	4978/5825	47/98	4/10
1CE	0.6522057477576423	1504/2676	1538/2317	4050/5825	32/98	2/10
1CEF	0.7170053084385869	1658/2676	1688/2317	4445/5825	40/98	3/10
1CEFG	0.7340289218378181	1689/2676	1689/2317	4593/5825	45/98	4/10
1CEG	0.6868936481786564	1607/2676	1585/2317	4270/5825	39/98	4/10
1CF	0.6116602599304412	1426/2676	1481/2317	3740/5825	33/98	3/10
1CFG	0.6742632253340656	1584/2676	1581/2317	4157/5825	41/98	4/10
1CG	0.5160168405637928	1262/2676	1241/2317	3090/5825	41/98	4/10
1D	0.8089877356763683	1843/2676	1858/2317	5086/5825	48/98	4/10
1DE	0.7958081640124474	1814/2676	1832/2317	5001/5825	42/98	6/10
1DEF	0.8034047226798462	1862/2676	1837/2317	5028/5825	45/98	6/10
1DEFG	0.8073402892183782	1864/2676	1845/2317	5062/5825	45/98	5/10
1DEG	0.8002928793703094	1847/2676	1829/2317	5022/5825	40/98	6/10
1DF	0.8130148270181219	1870/2676	1861/2317	5098/5825	49/98	5/10
1DFG	0.8137470254438953	1874/2676	1852/2317	5112/5825	48/98	5/10
1DG	0.8023064250411862	1839/2676	1813/2317	5064/5825	46/98	4/10
1E	0.6851546769174446	1567/2676	1606/2317	4277/5825	34/98	2/10
1EF	0.7332051986088229	1688/2676	1711/2317	4571/5825	39/98	2/10
1EFG	0.7493135639758375	1720/2676	1711/2317	4705/5825	47/98	4/10
1EG	0.7150832875709318	1659/2676	1629/2317	4483/5825	38/98	4/10
1F	0.6366465312099578	1470/2676	1521/2317	3931/5825	32/98	2/10
1FG	0.7026359143327842	1638/2676	1637/2317	4358/5825	41/98	3/10
1G	0.5785282811641955	1392/2676	1321/2317	3564/5825	41/98	3/10
2B	0.7261577887607542	1731/2676	1728/2317	4425/5825	47/98	3/10
2BC	0.6794801391177009	1643/2676	1655/2317	4075/5825	48/98	3/10
2BCD	0.8076148636280432	1883/2676	1864/2317	5027/5825	47/98	3/10
2BCDE	0.8040453963023979	1867/2676	1853/2317	5015/5825	44/98	6/10
2BCDEF	0.8097199341021417	1901/2676	1849/2317	5046/5825	45/98	6/10
2BCDEFG	0.8098114589053633	1887/2676	1847/2317	5062/5825	47/98	5/10
2BCDEG	0.8056013179571664	1875/2676	1847/2317	5034/5825	41/98	5/10
2BCDF	0.8118250045762402	1904/2676	1871/2317	5043/5825	48/98	4/10
2BCDFG	0.8150283726889987	1924/2676	1860/2317	5069/5825	47/98	5/10
2BCDG	0.8047775947281713	1876/2676	1837/2317	5028/5825	48/98	4/10
2BCE	0.7398865092440051	1719/2676	1748/2317	4574/5825	40/98	3/10
2BCEF	0.7649643053267435	1798/2676	1778/2317	4731/5825	46/98	5/10
2BCEFG	0.770181219110379	1809/2676	1764/2317	4791/5825	46/98	5/10
2BCEG	0.7470254438952956	1752/2676	1730/2317	4635/5825	41/98	4/10
2BCF	0.733479773018488	1752/2676	1746/2317	4467/5825	45/98	4/10
2BCFG	0.7442796997986454	1763/2676	1736/2317	4583/5825	46/98	4/10
2BCG	0.6970529013362621	1674/2676	1654/2317	4239/5825	47/98	2/10
2BD	0.8211605345048508	1924/2676	1882/2317	5115/5825	48/98	3/10
2BDE	0.814387699066447	1903/2676	1875/2317	5071/5825	43/98	6/10
2BDEF	0.8183232656049789	1925/2676	1872/2317	5093/5825	45/98	6/10
2BDEFG	0.8172249679663188	1897/2676	1868/2317	5112/5825	47/98	5/10
2BDEG	0.8122826285923486	1894/2676	1866/2317	5070/5825	40/98	5/10
2BDF	0.8256452498627128	1937/2676	1900/2317	5130/5825	50/98	4/10
2BDFG	0.8232656049789493	1936/2676	1878/2317	5130/5825	47/98	4/10
2BDG	0.8169503935566539	1909/2676	1852/2317	5117/5825	44/98	4/10
2BE	0.7618524620172067	1769/2676	1768/2317	4744/5825	40/98	3/10
2BEF	0.7811641954969797	1824/2676	1810/2317	4850/5825	46/98	5/10
2BEFG	0.7843675636097382	1834/2676	1785/2317	4900/5825	46/98	5/10
2BEG	0.7655134541460736	1794/2676	1739/2317	4786/5825	41/98	4/10
2BF	0.7602050155592166	1811/2676	1798/2317	4648/5825	45/98	4/10
2BFG	0.7636829580816401	1801/2676	1760/2317	4731/5825	48/98	4/10
2BG	0.7310086033315029	1731/2676	1699/2317	4509/5825	46/98	2/10
2C	0.6670327658795534	1631/2676	1646/2317	3962/5825	46/98	3/10
2CD	0.8064250411861614	1882/2676	1860/2317	5020/5825	46/98	3/10
2CDE	0.8020318506315212	1860/2676	1847/2317	5007/5825	43/98	6/10
2CDEF	0.8079809628409299	1900/2676	1844/2317	5033/5825	45/98	6/10
2CDEFG	0.8089877356763683	1889/2676	1849/2317	5050/5825	46/98	5/10
2CDEG	0.8048691195313931	1878/2676	1849/2317	5021/5825	41/98	5/10
2CDF	0.8110928061504667	1902/2676	1875/2317	5033/5825	48/98	4/10
2CDFG	0.8139300750503387	1913/2676	1862/2317	5066/5825	47/98	5/10
2CDG	0.8034047226798462	1870/2676	1840/2317	5017/5825	47/98	4/10
2CE	0.7338458722313747	1717/2676	1741/2317	4517/5825	40/98	3/10
2CEF	0.7597473915431082	1789/2676	1767/2317	4693/5825	47/98	5/10
2CEFG	0.7678015742266154	1806/2676	1760/2317	4773/5825	45/98	5/10
2CEG	0.7417170053084385	1748/2676	1725/2317	4586/5825	41/98	4/10
2CF	0.7278052352187443	1741/2676	1738/2317	4424/5825	45/98	4/10
2CFG	0.7391543108182317	1757/2676	1728/2317	4540/5825	46/98	5/10
2CG	0.6861614497528831	1664/2676	1634/2317	4151/5825	46/98	2/10
2D	0.8193300384404174	1916/2676	1879/2317	5106/5825	48/98	3/10
2DE	0.8131063518213436	1899/2676	1870/2317	5066/5825	43/98	6/10
2DEF	0.8176825919824272	1927/2676	1871/2317	5085/5825	45/98	6/10
2DEFG	0.8164927695405455	1900/2676	1869/2317	5100/5825	47/98	5/10
2DEG	0.8120080541826835	1892/2676	1863/2317	5072/5825	40/98	5/10
2DF	0.8249130514369394	1932/2676	1895/2317	5133/5825	49/98	4/10
2DFG	0.8218927329306241	1927/2676	1877/2317	5126/5825	46/98	4/10
2DG	0.8159436207212154	1905/2676	1856/2317	5106/5825	44/98	4/10
2E	0.7571846970529014	1761/2676	1768/2317	4700/5825	41/98	3/10
2EF	0.7762218561230093	1817/2676	1800/2317	4813/5825	46/98	5/10
2EFG	0.7804319970712063	1830/2676	1775/2317	4871/5825	46/98	5/10
2EG	0.7618524620172067	1791/2676	1747/2317	4742/5825	40/98	4/10
2F	0.7536152297272561	1797/2676	1786/2317	4606/5825	41/98	4/10
2FG	0.7591067179205565	1792/2676	1755/2317	4697/5825	46/98	4/10
2G	0.7187442796997986	1716/2676	1675/2317	4416/5825	44/98	2/10
BC	0.4541460735859418	1110/2676	1114/2317	2706/5825	32/98	0/10
BCD	0.7902251510159253	1787/2676	1826/2317	4971/5825	46/98	4/10
BCDE	0.7861980596741717	1793/2676	1819/2317	4931/5825	41/98	6/10
BCDEF	0.796174263225334	1841/2676	1826/2317	4981/5825	45/98	6/10
BCDEFG	0.8007505033864177	1856/2676	1844/2317	4997/5825	47/98	5/10
BCDEG	0.7919641222771371	1822/2676	1816/2317	4970/5825	40/98	5/10
BCDF	0.8015742266154128	1843/2676	1844/2317	5018/5825	48/98	5/10
BCDFG	0.8029470986637379	1855/2676	1839/2317	5024/5825	50/98	5/10
BCDG	0.7926963207029105	1822/2676	1794/2317	4993/5825	48/98	4/10
BCE	0.6572396119348344	1522/2676	1551/2317	4073/5825	33/98	2/10
BCEF	0.7206663005674537	1658/2676	1690/2317	4483/5825	40/98	3/10
BCEFG	0.7359509427054732	1693/2676	1699/2317	4600/5825	45/98	4/10
BCEG	0.695405454878272	1623/2676	1600/2317	4334/5825	37/98	4/10
BCF	0.620080541826835	1441/2676	1492/2317	3807/5825	32/98	3/10
BCFG	0.681127585575691	1603/2676	1586/2317	4207/5825	42/98	4/10
BCG	0.5345048508145708	1295/2676	1237/2317	3264/5825	41/98	3/10
BD	0.8125572030020135	1859/2676	1863/2317	5105/5825	47/98	4/10
BDE	0.7976386600768809	1824/2676	1832/2317	5010/5825	43/98	6/10
BDEF	0.8056013179571664	1867/2676	1832/2317	5051/5825	46/98	6/10
BDEFG	0.8089877356763683	1876/2676	1849/2317	5065/5825	44/98	5/10
BDEG	0.8027640490572945	1854/2676	1832/2317	5040/5825	40/98	5/10
BDF	0.8134724510342303	1868/2676	1857/2317	5111/5825	48/98	4/10
BDFG	0.8157605711147721	1883/2676	1861/2317	5118/5825	47/98	4/10
BDG	0.8052352187442797	1854/2676	1818/2317	5078/5825	45/98	3/10
BE	0.6949478308621636	1605/2676	1617/2317	4336/5825	34/98	1/10
BEF	0.7389712612117884	1700/2676	1715/2317	4618/5825	39/98	2/10
BEFG	0.753066080907926	1732/2676	1720/2317	4725/5825	47/98	4/10
BEG	0.718652754896577	1657/2676	1631/2317	4521/5825	39/98	4/10
BF	0.6506498261028739	1492/2676	1536/2317	4047/5825	33/98	1/10
BFG	0.709683324180853	1655/2676	1641/2317	4414/5825	41/98	3/10
BG	0.6056196229178107	1416/2676	1329/2317	3829/5825	41/98	2/10
CD	0.7834523155775215	1758/2676	1817/2317	4935/5825	46/98	4/10
CDE	0.7834523155775215	1783/2676	1815/2317	4916/5825	40/98	6/10
CDEF	0.7951674903898956	1836/2676	1830/2317	4972/5825	44/98	6/10
CDEFG	0.799835255354201	1856/2676	1836/2317	4996/5825	46/98	5/10
CDEG	0.790316675819147	1820/2676	1813/2317	4957/5825	40/98	5/10
CDF	0.7991030569284276	1839/2676	1844/2317	4997/5825	46/98	5/10
CDFG	0.7988284825187626	1840/2676	1826/2317	5008/5825	49/98	5/10
CDG	0.7872048325096102	1803/2676	1779/2317	4967/5825	48/98	4/10
CE	0.6418634449935933	1476/2676	1524/2317	3978/5825	33/98	2/10
CEF	0.7126121178839465	1640/2676	1683/2317	4420/5825	40/98	3/10
CEFG	0.7310086033315029	1681/2676	1687/2317	4570/5825	45/98	4/10
CEG	0.6828665568369028	1598/2676	1574/2317	4248/5825	37/98	4/10
CF	0.59518579535054	1373/2676	1455/2317	3641/5825	31/98	3/10
CFG	0.6653853194215632	1563/2676	1568/2317	4095/5825	40/98	4/10
CG	0.47766794801391177	1161/2676	1151/2317	2864/5825	39/98	4/10
DE	0.7957166392092258	1819/2676	1827/2317	5000/5825	42/98	6/10
DEF	0.8040453963023979	1864/2676	1834/2317	5036/5825	45/98	6/10
DEFG	0.8074318140215998	1868/2676	1846/2317	5058/5825	45/98	5/10
DEG	0.8002013545670876	1848/2676	1828/2317	5022/5825	40/98	5/10
DF	0.8130148270181219	1870/2676	1863/2317	5099/5825	47/98	4/10
DFG	0.8131063518213436	1877/2676	1852/2317	5103/5825	48/98	4/10
DG	0.8033131978766246	1845/2676	1813/2317	5069/5825	46/98	4/10
EF	0.7305509793153945	1681/2676	1704/2317	4557/5825	38/98	2/10
EFG	0.7488559399597291	1717/2676	1709/2317	4705/5825	47/98	4/10
EG	0.7085850265421929	1638/2676	1605/2317	4458/5825	37/98	4/10
FG	0.6944902068460553	1627/2676	1608/2317	4310/5825	40/98	3/10
