Epoch	Train Loss	Val Loss	Val Spearman/Accuracy
1	2543.0122929040394	2699.569580078125	0.11987792421974093
2	1836.20242265437	2580.1962890625	0.11807529388342128
3	1195.1353663464802	2380.614501953125	0.0712047713425793
4	734.6583060608525	2086.755859375	0.04809387564312097
5	467.4800771043315	1719.78564453125	0.03488833982101124
6	357.9684232303166	1352.3392333984375	0.04375335915397108
7	303.73338994149367	1049.0797119140625	0.11462852715640501
8	273.3728573982097	823.69970703125	0.20586060352181548
9	241.8581266001404	624.5170288085938	0.2795185050826381
10	220.92236455332815	423.82220458984375	0.31919395268276934
11	205.9346980477276	258.964599609375	0.3389298757326524
12	191.7960457717489	157.62905883789062	0.36019514102467337
13	182.400875784808	108.23019409179688	0.37869162806428386
14	176.8326711059871	87.02180480957031	0.4198195769684477
15	169.34222637148332	77.09365844726562	0.4547486434188788
16	160.74121212008177	71.71459197998047	0.4500147416716148
17	155.02216020716045	66.70590209960938	0.4379878309093046
18	152.91244996606517	63.59750747680664	0.4706043520930248
19	145.4605301261989	62.11796188354492	0.47312809585698895
20	139.19516616319152	59.88193893432617	0.4875191600331022
21	136.30774000247692	57.887516021728516	0.49780918606124996
22	134.09139664246248	56.94218444824219	0.501769734120701
23	130.66384399017818	55.556846618652344	0.5074640133703527
24	129.02092143465055	54.295711517333984	0.5218626327104919
25	127.1820323687046	53.406009674072266	0.5236682615583859
26	122.83900055109267	51.9854736328125	0.5247533622130829
27	120.40903155188286	50.89777374267578	0.5330834035191262
28	119.66501168617606	49.97258377075195	0.5445105716515173
29	117.82950391972227	49.51541519165039	0.5437484823949079
30	116.26687286049028	49.10854721069336	0.5578742492058937
31	114.04395291661693	48.639625549316406	0.5449936340653753
32	112.66690935109696	46.85605239868164	0.5613845167635119
33	111.1448690595044	47.154518127441406	0.555960121489221
34	108.67771584583605	46.979278564453125	0.569751804817958
35	108.511720980919	46.22287368774414	0.5575180952969467
36	108.49356527505691	45.62434387207031	0.5711329744125087
37	107.51704605167441	45.83116912841797	0.564714078127766
38	107.11930555894868	44.685279846191406	0.5850033791131795
39	106.7944570537539	45.54150390625	0.5660986410451453
40	103.23307801044464	44.380943298339844	0.5753479117206726
41	104.92759885290525	44.291629791259766	0.5810977772171707
42	103.85288459157847	44.73704528808594	0.5715971138811787
43	102.18794628627514	42.9881477355957	0.5810369908874793
44	99.96524397741369	44.17611312866211	0.582361695933116
45	99.87242010734427	43.14646530151367	0.584691054455464
46	100.30698099334901	43.37858200073242	0.5857367012476254
47	97.47041218631455	42.80928421020508	0.5915418493228951
48	98.57124207895662	42.8559455871582	0.5896521913263216
49	99.43258417529603	42.51064682006836	0.5944306437118325
50	95.63369842385829	42.6095085144043	0.5874692155202688
51	96.55405247340086	41.418033599853516	0.5914647871702774
52	95.38013902761965	42.57884979248047	0.5874776579688866
53	97.1892893732915	42.204925537109375	0.6012042613274748
54	95.78973449577228	41.649513244628906	0.5900949542905839
55	93.79328975673221	41.95476150512695	0.6090186569167702
56	95.92352504145254	42.56193923950195	0.5709789120310711
57	94.13843956565815	41.38043212890625	0.6123257753574547
58	94.66471706925822	41.52372741699219	0.5898209661235925
59	94.75730477720133	41.700897216796875	0.6104647293050511
60	91.3335340149322	40.565853118896484	0.5969871637905023
61	93.35993736374691	40.83637619018555	0.6091128690022029
62	91.18080243037429	41.693626403808594	0.5952834792611015
63	90.95673751882293	40.03483581542969	0.6031081515202239
64	90.97252368401809	42.14065170288086	0.6065294421351733
65	91.00967857816862	39.55962371826172	0.600945353677712
66	91.84349336779995	41.35968780517578	0.6083102269767625
67	91.83094712687146	40.331329345703125	0.5995024527973118
68	90.77144477183263	40.34138870239258	0.6048228038185653
69	89.84279970570861	40.121253967285156	0.6126944464486134
70	89.56659112899982	40.06254959106445	0.6096961565407593
71	88.76192957577301	39.85219955444336	0.6090478620713854
72	89.5034224141917	40.224822998046875	0.6107295457631021
73	89.97460605133719	40.80121612548828	0.5980761294278005
74	88.28059118239705	39.360626220703125	0.6172715423419104
75	89.84882831253246	40.50470733642578	0.6060498013080078
76	87.83691937113758	39.25440216064453	0.6075540280982201
77	87.92624740241918	40.104576110839844	0.6136354775000525
78	86.79802850979885	39.29493713378906	0.6151760510288142
79	87.13546981247902	40.29114532470703	0.6121407103034474
80	85.83628668784027	38.8046760559082	0.6036356585030623
81	86.4034505850521	40.17647171020508	0.6151962315007745
82	86.8441173170033	38.94377136230469	0.6125214273453073
83	85.51533243842431	39.626190185546875	0.6164930561373319
84	86.60546433222702	39.137054443359375	0.6094209986432289
85	85.28613375665252	38.756954193115234	0.6194358135231149
86	85.51746656504525	38.86858367919922	0.6151534770630219
87	86.45430492113334	38.677303314208984	0.6158246657436276
88	84.88745770681777	39.76243591308594	0.6213070839484093
89	85.24686602269453	38.6862907409668	0.609600075056501
90	83.67938855309761	39.701499938964844	0.6242917893121794
91	84.48922883992978	38.46200942993164	0.6063287955594571
92	83.86626666265231	39.47285079956055	0.6235998774535496
93	82.99533939536637	38.415870666503906	0.618501296039918
94	83.34068221482276	39.1474609375	0.6162406945751231
95	84.16552971403738	38.3040771484375	0.6206223947469545
96	83.14476881434994	39.06101608276367	0.6202531055605416
97	84.93447787744076	38.026145935058594	0.6211634944861343
98	82.58962965624322	38.14878845214844	0.6257619007364053
99	83.02759821037598	39.37220001220703	0.6161956395901123
100	82.92874690991589	37.6386604309082	0.6212234792049619
101	82.69376211548534	38.50929641723633	0.6271103263952374
102	82.7713389235907	37.994895935058594	0.6269416716553499
103	82.87735433345783	37.95006561279297	0.6290331750569282
