Epoch	Train Loss	Val Loss	Val Spearman/Accuracy
1	2045.3224757160147	1641.3426513671875	0.2083656252916505
2	781.291832463128	947.4555053710938	0.20691056062784438
3	329.95898197567755	668.2578735351562	0.15830998977784472
4	317.89003723158197	600.8220825195312	0.20623871985729797
5	268.08722251822064	653.6648559570312	0.2874112359442326
6	207.70261511391698	698.5441284179688	0.30162865205401324
7	198.84866499635018	605.947998046875	0.3112868450523578
8	173.92623516669443	447.8492126464844	0.3533586242377842
9	155.78288826448207	323.8273010253906	0.436758548356449
10	152.67715164980473	228.74562072753906	0.45755993705436293
11	139.5493196479314	165.51974487304688	0.47083767485664507
12	132.52403848587014	109.11840057373047	0.5203902453036492
13	125.81434548819708	71.05601501464844	0.5433483434085784
14	120.48297247748954	56.672950744628906	0.5703530081256706
15	117.68428837810556	51.07051467895508	0.5680323280894488
16	110.9100499395879	47.75987243652344	0.5723932944332341
17	109.71962574586682	45.34324645996094	0.5920397578478824
18	107.03120112302774	43.92045974731445	0.5975136563925192
19	103.52424714118543	42.761192321777344	0.6009341743536435
20	101.14913514707081	41.95121765136719	0.6034440704549038
21	99.87424834767845	41.63622283935547	0.6144516461760483
22	97.73784976785872	40.86829376220703	0.6059456406437198
23	98.13350188266199	41.13264083862305	0.6138498902256975
24	95.69325523777832	40.32835006713867	0.6113548878609418
25	91.98434204791573	39.582618713378906	0.6238192882061766
26	92.2172292825064	38.51563262939453	0.6298651383467647
27	91.38011320723446	39.1136474609375	0.6268447656548698
28	90.83982394055977	38.101802825927734	0.6275627971484994
29	89.48035752685219	38.45090103149414	0.6451626536368359
30	86.67160563198864	37.66265869140625	0.6315514514437616
31	84.75504082448535	37.895347595214844	0.6395622328356765
32	86.49023208225337	37.294281005859375	0.6369504557385541
33	84.72086560189764	37.737308502197266	0.6404101255838854
34	83.40036778224777	36.78451156616211	0.6399740570438077
35	82.74507583881187	36.908748626708984	0.6482608086720787
36	82.00910209722372	36.38625717163086	0.6469647204446008
37	80.52313014180542	37.247840881347656	0.653555205324322
38	81.08461333463356	35.34589767456055	0.6494720523688032
39	81.6153907265203	36.34443664550781	0.6478023779012274
40	79.6183202784094	35.58100128173828	0.6540621821778323
41	79.36497116071787	35.959381103515625	0.6525211099298713
42	78.6170653538547	35.79042053222656	0.6566581828911897
43	78.44621251372915	35.91715621948242	0.6623192520411475
44	76.95667912415111	34.869590759277344	0.6609231263480934
45	76.02583219768592	36.0771484375	0.6556996348770308
46	74.35100809972185	34.29917526245117	0.6640381236436681
47	75.26575556597722	35.83559799194336	0.6658976590483048
48	74.86519754246254	35.21930694580078	0.6486488017648797
49	74.54951570202154	35.101619720458984	0.6672049303910452
50	72.15815706340584	34.535579681396484	0.6603700630558764
51	72.91456042875346	33.64435958862305	0.6676271404062266
52	71.56306241908435	34.49551010131836	0.6712680645816972
53	70.9153867452983	34.30247116088867	0.6640311714859394
54	70.4856498299815	34.29486846923828	0.6661023885532993
55	70.74725640379985	34.301849365234375	0.6677632751849775
56	69.53652835877544	34.11143493652344	0.6646057200263431
57	69.88511115373689	33.66680145263672	0.6657123930849095
58	68.85402141474546	33.88645553588867	0.6661946486740427
59	68.75919148394105	33.68695831298828	0.6738720164567292
60	68.61079228497043	33.94023132324219	0.6711189513057849
61	67.5655857042629	33.781654357910156	0.6691330930799205
62	68.33844438309048	34.03046417236328	0.6824197202018092
63	66.68569764597773	32.71223068237305	0.6737758427926369
64	67.46129182739121	33.029693603515625	0.6794015881504444
65	65.5430157489149	34.34401321411133	0.6667198734804849
66	65.26327673726523	33.675437927246094	0.6665278186016742
67	65.82607940748977	32.99086380004883	0.6833165549737318
68	65.93755829902685	32.97273635864258	0.6834004512160943
69	64.93333205408182	33.75475311279297	0.6670246110836856
70	64.65504107418705	33.313255310058594	0.6798545045491684
71	63.86221728849016	33.122032165527344	0.6709048127322588
72	63.1215278917547	34.595340728759766	0.6667100460920177
73	62.91320391540322	32.65072250366211	0.6696508843651784
74	62.471614129190506	33.978477478027344	0.6788535027436585
75	63.75484190531591	32.75115966796875	0.6835887790316837
76	61.0922639459525	33.21457290649414	0.6742441493122362
77	62.66043404774936	32.68819808959961	0.6769232298201757
78	62.23183473339811	32.483917236328125	0.6858393162999938
79	61.58137077039484	32.63709259033203	0.6833931129344654
80	61.277869719809964	32.5912971496582	0.6819961708478105
81	61.726412906480206	32.15167236328125	0.6804617904315917
82	61.28959586863179	32.129608154296875	0.6799244239962409
83	61.213502578445	32.61802291870117	0.6823310467170031
84	62.30707082191196	33.00263595581055	0.6818673603902076
85	60.412846146842526	32.31935501098633	0.690146460368408
86	60.17349652695341	32.60360336303711	0.6714748970232981
87	59.689032709665256	32.342010498046875	0.6871316638114755
88	59.93649619747014	32.811580657958984	0.6854922553317436
89	60.66237813788611	32.00043869018555	0.6815114958092663
90	58.90702989918555	32.170413970947266	0.6851759827906433
91	59.38092152971482	32.34828567504883	0.6819116784968156
92	58.31734252512949	32.240901947021484	0.6858303984482266
93	58.50275345224381	31.20146369934082	0.6914644650369841
94	59.30259347458347	31.920339584350586	0.6944478669059015
95	59.48158861463012	32.234649658203125	0.6791025757679661
96	57.1712370589619	31.15668487548828	0.6908861206833771
97	57.687957470759144	31.899890899658203	0.685162344787212
98	58.37723523770399	33.145870208740234	0.6825974104612027
99	57.62565964237005	31.737768173217773	0.6873375404705883
100	57.98705308178487	31.215866088867188	0.6841192176639102
101	57.438470418164464	31.599496841430664	0.6957524209893992
102	57.54042350576045	32.448768615722656	0.6842819779760094
