Epoch	Train Loss	Val Loss	Val AUCROC	Val PRC	Val Accuracy	Val Sensitivity	Val Specificity	Val Precision	Val F1	Val MCC
1	0.6658950810853427	0.6618093710190293	0.6550153712641535	0.6557836153238252	0.601603104961188	0.7066824164697941	0.49652379345258185	0.5839585018267005	0.6394856994517996	0.20784801693885405
2	0.636856234466932	0.6522318220484551	0.6685506293219934	0.6724226767596447	0.6142591967600405	0.678636517043537	0.5498818764765441	0.6012258932575871	0.6375901704320254	0.23043643562093002
3	0.6263814673680197	0.6549174930974514	0.6679227077709116	0.6720454174568483	0.6110361120485994	0.7100911238609517	0.5119811002362471	0.5926760563380282	0.6460924305235682	0.22656274554459707
4	0.6183580267083979	0.6495841361524445	0.6707558527270012	0.6758458445177842	0.6190516368545393	0.6364832939588255	0.6016199797502532	0.6150409288067051	0.6255784253561774	0.2382481071435666
5	0.6121520072176466	0.6465034462091611	0.6731062762027658	0.681290546119751	0.617532905838677	0.6563617954775566	0.5787040161997975	0.6090632927249382	0.631828592777895	0.23577784315476236
6	0.6063702170875378	0.6435554758061278	0.6743981378388355	0.6834262040135792	0.6206547418157273	0.6246709416132298	0.6166385420182248	0.6196933172626222	0.6221721738545833	0.24131726858493519
7	0.6016228689102047	0.645848449065884	0.6731131462864814	0.6802581850796203	0.6212622342220723	0.6379682753965575	0.6045561930475869	0.6173416067929458	0.6274854771784233	0.24265995508090724
8	0.5978886675347276	0.6439414499299252	0.6750971618803129	0.6827268232607179	0.6233884576442794	0.6169760377995275	0.6298008774890314	0.624991452991453	0.6209578804347826	0.24679721229564427
9	0.5950554977463088	0.6442833700254081	0.6753071314122917	0.6814288404931439	0.6232703341208234	0.6269996625042187	0.6195410057374283	0.6223577099594654	0.6246700627091004	0.24654752624887266
10	0.5934430603081294	0.6439323054146936	0.6753191761275781	0.6820681822125179	0.6232365845426933	0.6173472831589605	0.6291258859264259	0.6247054403879649	0.6210045662100456	0.24649026815169117
11	0.6059986216641272	0.6545343426727903	0.6667293429630308	0.6730112157189844	0.6125548430644617	0.6863989200134998	0.5387107661154236	0.5980709286596483	0.639197938273933	0.22760561435391793
12	0.6031545699680019	0.6453276776921455	0.674838533384347	0.680386006273494	0.6221903476206547	0.6337495781302733	0.6106311171110361	0.6194293254164605	0.6265076319959964	0.24444602767988988
13	0.5995867586444421	0.6560825712166644	0.668110473543144	0.6716348966826138	0.6093148835639555	0.7220722240971987	0.4965575430307121	0.5891991628111919	0.6489035819356405	0.22441063684257412
14	0.5959442232810923	0.6488048780901867	0.6693234394180265	0.6775807409677445	0.6193216334795815	0.5961525480931489	0.6424907188660142	0.6251194394309375	0.6102924663568677	0.23889989082747784
15	0.5918546254053157	0.6488522006939924	0.6696393744242894	0.6755111966578017	0.6183766452919338	0.5874789065136686	0.6492743840701991	0.6261736033670275	0.6062094063974647	0.23720663202432385
16	0.5878753879530897	0.6452974645744656	0.6727828116120874	0.6803160086799234	0.6214141073236584	0.6305771177860277	0.6122510968612892	0.6192291121201073	0.6248515960737756	0.24286900100422382
17	0.5842367696542355	0.6442430031247288	0.673752315229033	0.6834803507699018	0.6227809652379346	0.6004387445156936	0.6451231859601755	0.6285239878470995	0.6141604529135598	0.24580745488414937
